snapshot_date,index_code,symbol,weight,source
2010-01-04,000300,600031,0.38,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600033,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600036,3.44,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600037,0.16,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600048,0.68,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600050,1.07,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600058,0.15,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600062,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600066,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600068,0.26,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600085,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600087,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600089,0.61,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600096,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600100,0.27,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600102,0.06,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600104,0.63,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600108,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600109,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600111,0.28,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600118,0.07,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600123,0.26,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600125,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600132,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600143,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600150,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600151,0.06,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600153,0.17,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600158,0.09,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600161,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600166,0.22,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600169,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600170,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600176,0.07,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600177,0.29,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600183,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600188,0.24,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600196,0.25,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600208,0.17,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600210,0.16,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600216,0.17,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600219,0.23,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600220,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600221,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600236,0.08,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600239,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600246,0.09,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600251,0.09,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600256,0.21,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600266,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600269,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600270,0.06,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600271,0.17,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600276,0.28,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600282,0.07,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600307,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600309,0.35,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600312,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600316,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600320,0.32,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600325,0.21,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600331,0.2,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600348,0.41,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600350,0.06,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600352,0.19,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600362,0.35,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600369,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600376,0.08,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600380,0.09,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600383,0.48,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600395,0.17,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600415,0.26,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600418,0.15,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600426,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600428,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600432,0.2,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600456,0.09,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600489,0.4,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600497,0.28,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600500,0.15,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600508,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600516,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600517,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600518,0.22,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600519,1.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600528,0.17,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600547,0.5,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600549,0.09,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600550,0.32,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600569,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600582,0.16,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600583,0.25,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600585,0.45,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600588,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600595,0.15,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600596,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600597,0.07,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600598,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600600,0.23,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600601,0.16,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600611,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600631,0.21,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600635,0.22,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600638,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600639,0.06,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600642,0.29,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600643,0.17,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600648,0.02,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600649,0.26,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600655,0.32,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600657,0.09,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600660,0.26,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600663,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600664,0.24,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600674,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600675,0.19,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600685,0.08,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600688,0.19,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600690,0.34,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600694,0.23,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600717,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600718,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600737,0.15,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600739,0.61,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600741,0.21,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600748,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600779,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600782,0.07,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600795,0.35,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600804,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600808,0.21,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600809,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,600811,0.17,chenditc/investment_data:ts_index_weight
