frequency,period,dates,pearson_ic_mean,pearson_ic_median,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,rank_ic_t_stat
quarter,2023Q2,59,0.13425368464859044,0.12167078104652296,0.16434044382902582,0.1458189004894539,0.16077627946814213,1.0221684714478663,0.8305084745762712,7.8514250080671335
quarter,2023Q3,64,0.14357637768321296,0.15522282692925507,0.15671708350261504,0.1521152972188909,0.10883371137589103,1.4399682003064649,0.984375,11.519745602451719
quarter,2023Q4,60,0.04706243860344047,0.06727211164290273,0.09435389065763446,0.1376037106447841,0.1570397854947977,0.6008279389859467,0.7,4.653993203257395
quarter,2024Q1,58,0.20455004629397977,0.24684600938015866,0.24666637603488614,0.30130708127869177,0.2052720214098216,1.2016560968258871,0.8275862068965517,9.151540184703988
quarter,2024Q2,59,0.06596729371995701,0.08424756775115202,0.0930626036188168,0.09988071791173124,0.10479289762663462,0.8880621275536101,0.8305084745762712,6.821334634901562
quarter,2024Q3,64,-0.07004908732729168,-0.08279136428108459,-0.08148241696915157,-0.07318344560893289,0.2481623468201156,-0.32834319151654134,0.359375,-2.6267455321323308
quarter,2024Q4,61,0.07094809508233865,0.12926150254907803,0.1397042122627813,0.21910611217996148,0.31307301943918076,0.44623523455658554,0.7377049180327869,3.485208596073702
quarter,2025Q1,57,0.15470978374160868,0.28709448992608505,0.17133775073121224,0.17598789886847563,0.31435696016886183,0.5450420141458788,0.631578947368421,4.114976967067883
quarter,2025Q2,60,-0.14071955288344312,-0.15339731201722204,-0.06431201609016775,-0.07244867860335791,0.1495939965666153,-0.4299104079456099,0.31666666666666665,-3.330071700669168
quarter,2025Q3,66,-0.18855868595754183,-0.18923777720090326,-0.18886677669630642,-0.21566186827409012,0.15297272108940374,-1.234643506053113,0.10606060606060606,-10.03029125920988
quarter,2025Q4,39,0.13827972411298842,0.1702206211774612,0.1752539331774735,0.2013097289124855,0.19969841135882066,0.8775930263289626,0.7948717948717948,5.480566692832764
month,2020-01,16,-0.1966711105459985,-0.20348559130262128,-0.15147622758064533,-0.1579086071072085,0.09924942293958487,-1.5262177158737937,0.0625,-6.104870863495175
month,2020-02,20,0.08416224408464523,0.11490460513291939,0.10930011202500955,0.17279333708681704,0.19376132944997382,0.5640966251381402,0.7,2.522716799374196
month,2020-03,22,0.22981174447608216,0.2525894017565239,0.22954819047011207,0.254314329284774,0.12961221240959758,1.7710382856879185,1.0,8.306905886441283
month,2020-04,21,-0.1209083982336227,-0.10663526524749144,-0.08500545292744549,-0.08841368629178725,0.06663609147410786,-1.275666850305517,0.09523809523809523,-5.8458399030709325
month,2020-05,18,-0.06849851036478666,-0.07595947578657619,-0.021525845648703752,-0.02364565217276436,0.04098035343396825,-0.5252723279555996,0.2222222222222222,-2.2285417504022913
month,2020-06,20,0.08412590926390665,0.08165782732687432,0.06147113347710572,0.05503735221360388,0.06534537923464477,0.940711251462368,0.8,4.206988610937507
month,2020-07,23,-0.016891760457918487,-0.011129362601321772,0.02598289904590424,0.02364050666168156,0.08242176612197409,0.3152431726281228,0.6086956521739131,1.5118531447990644
month,2020-08,21,0.07975138741674034,0.08293634666639549,0.07186889734297999,0.07785533941778529,0.06402481295653539,1.1225163186617932,0.8095238095238095,5.144015999090838
month,2020-09,22,0.020945423489948337,0.025618540055038795,0.03644648599433999,0.024259160260852765,0.06825622588102953,0.5339657375411607,0.7272727272727273,2.5045213105688013
month,2020-10,16,-0.03869640943537975,-0.031716878567517884,-0.033784789996942254,-0.03754739450477278,0.0430992929674532,-0.7838826966942388,0.1875,-3.1355307867769553
month,2020-11,21,-0.05298238349792824,-0.09219784207691598,0.0270251998826666,-0.014973554451793958,0.08197688872290758,0.32966852369837124,0.42857142857142855,1.5107309640921294
month,2020-12,23,-0.15894083730856215,-0.1717004858018636,-0.14513821021064835,-0.1748893307885244,0.0733513823884681,-1.9786704147169036,0.08695652173913043,-9.489369949145578
month,2021-01,20,0.08997778510798143,0.09196720052178164,0.11806580514931934,0.1192051583632997,0.0372639743433066,3.168363204139187,1.0,14.16935100372853
month,2021-02,15,0.16402991843909634,0.1667252043965607,0.2354122239012236,0.25255188495919156,0.06464323334430666,3.6417148666954344,1.0,14.104301030347381
month,2021-03,23,0.13437680219452564,0.1787858183438085,0.15699563456912324,0.20965352921127484,0.1650039650203665,0.9514658302286568,0.7391304347826086,4.563069821965501
month,2021-04,21,-0.09467186907128468,-0.0914358045494949,-0.08296528107342917,-0.08926791044062979,0.03786320900842931,-2.191184615518431,0.047619047619047616,-10.041269362235917
month,2021-05,18,-0.08817172680651138,-0.08714433395297604,-0.09637189764560623,-0.09739337469553247,0.0418257033001924,-2.3041309539716197,0.0,-9.775599733770967
month,2021-06,21,-0.0010314904789280519,0.007719041646479126,0.0599482521886311,0.07105113267314862,0.07003217961356435,0.8560100873544692,0.7619047619047619,3.922731020947616
month,2021-07,22,-0.02621612327796955,-0.04519097078842214,0.005961999273542229,-0.013569242469427673,0.05283182905788137,0.112848625153795,0.4090909090909091,0.5293069698957668
month,2021-08,22,0.0856397157466605,0.08593231138280177,0.111932844940766,0.11701697468772017,0.07065296188779416,1.5842625977737426,0.9090909090909091,7.430850256296769
month,2021-09,20,-0.007394817791309291,-0.013948709398630459,0.016875431598383527,0.013383206368766842,0.03343157448189194,0.5047752569213881,0.8,2.25742357567229
month,2021-10,16,-0.16189321693697492,-0.15441000381542758,-0.11534305592124813,-0.10276193325202537,0.04776746813135242,-2.4146780315857295,0.0,-9.658712126342918
month,2021-11,22,0.05070140969779735,0.0636911641603779,0.05082470199263021,0.049925123212804165,0.037729239842164454,1.3470905378759015,0.9090909090909091,6.318414688762149
month,2021-12,23,0.071375245266512,0.07509063751791796,0.07871463606383403,0.06646809588814387,0.051959865400582436,1.514912239610068,0.9565217391304348,7.265263873774235
month,2022-01,19,-0.01450507195513425,-0.006295096936537859,-0.025624705439960583,-0.046645775100262146,0.07932811263732326,-0.323021745860929,0.2631578947368421,-1.4080191467738674
month,2022-02,16,0.005656262309058604,0.014748854619618989,-0.0015861677751328488,-0.006582145523359777,0.08510051722174335,-0.018638755990164298,0.5,-0.07455502396065719
month,2022-03,23,-0.021025326493566015,-0.025619626722445856,-0.04920048251948394,-0.05487754129245577,0.05791435162519527,-0.8495386918581953,0.2608695652173913,-4.0742444386873835
month,2022-04,19,0.2597139339839599,0.27688104419934745,0.2526767641965495,0.2696855792670834,0.06901928583198044,3.6609588341968964,1.0,15.95774959472675
month,2022-05,19,0.08516033206787309,0.0857396050646716,0.06963671661103576,0.05263372627997013,0.08457843310608733,0.8233389299573561,0.7894736842105263,3.5888511919670285
month,2022-06,21,0.003340614709796608,-0.002334748026607835,-0.011390792719055921,-0.023869424558967168,0.06127620160620295,-0.18589260464054022,0.3333333333333333,-0.8518669318977747
month,2022-07,21,0.028444485957808432,0.028606955390596604,0.05139712139111754,0.04560829241680305,0.07400806906286087,0.6944799674135793,0.7619047619047619,3.182507019303192
month,2022-08,23,0.09285208278097615,0.0892970411686112,0.0746725273418685,0.07613852171873464,0.043139529520842386,1.7309536791724,0.9130434782608695,8.301362219969127
month,2022-09,21,-0.09464398935829672,-0.10665277387987099,-0.08564854811806843,-0.08148887000133465,0.04699391655197334,-1.8225454357128261,0.047619047619047616,-8.351952416650297
month,2022-10,16,-0.05748774277270149,-0.05741431541663425,-0.028145243556119588,-0.03600473200959663,0.06934621882110598,-0.40586558336693906,0.3125,-1.6234623334677563
month,2022-11,22,0.01795888567989026,0.00019500004027268262,-0.015909868065183616,-0.024514604239498923,0.08178187239605063,-0.19454027645803726,0.3181818181818182,-0.9124747786191849
month,2022-12,22,0.16126839964277548,0.1746790495116024,0.129213737902276,0.1331635242105107,0.07314897728642118,1.7664462675442252,0.9545454545454546,8.285367412170707
month,2023-01,16,0.04298175036272879,0.042024255727817796,0.056072365604720405,0.05738546603118122,0.08339372091663518,0.672381145587368,0.5625,2.689524582349472
month,2023-02,20,-0.024995204573346513,0.020635608363670364,0.10192885141416715,0.13027884911486315,0.08010151019513029,1.2724960012097728,0.85,5.690775119603414
month,2023-03,23,-0.23396314726552306,-0.27954542509144725,-0.09692551607471103,-0.1554477153246485,0.14651291881347758,-0.6615492808392194,0.21739130434782608,-3.1726788952735876
month,2023-04,19,0.282572750081313,0.33476089619619076,0.3123880034355879,0.3476666552432106,0.14733560630460388,2.1202478563786693,0.9473684210526315,9.24194614121336
month,2023-05,20,-0.07883103618292067,-0.08846966905843906,0.011549340277596912,0.010274808863509307,0.07198257119294592,0.16044634258255996,0.55,0.7175378575116464
month,2023-06,20,0.20643529331901522,0.19561879337836063,0.17648636575422078,0.15283627206948275,0.08070671684321111,2.186761804436683,1.0,9.779496090641048
month,2023-07,21,0.24414956816325,0.2804527451046639,0.24704108949215925,0.29418708906156604,0.08550198977731016,2.8893022271829873,1.0,13.240446161670532
month,2023-08,23,0.19911092860664678,0.20210509911528365,0.18059531035228468,0.19170622678096408,0.0654879308304431,2.7576884482710224,1.0,13.225409191693506
month,2023-09,20,-0.025890205882774863,-0.03784393970601329,0.03441691633647363,0.02539520012752228,0.03408267088125853,1.0098069032318386,0.95,4.515993759549886
month,2023-10,17,-0.11154290540563926,-0.09894019033087531,-0.11169781697764752,-0.13472180271559328,0.06767825229485097,-1.6504240755363833,0.058823529411764705,-6.804872790498889
month,2023-11,22,0.12415285193065063,0.1522062912721137,0.16977502865786342,0.19819012752991383,0.09697041292918841,1.750792056354754,0.9090909090909091,8.211942653300008
month,2023-12,21,0.09469585550609437,0.09139071750821615,0.18214503321928954,0.18212578706374055,0.09367585161706427,1.944418225989306,1.0,8.910443703247743
month,2024-01,22,0.29769749303788234,0.3557068392861552,0.3158583483961002,0.3377542301968749,0.08758667276297288,3.6062375522686687,1.0,16.914753448828037
month,2024-02,15,-0.10359597874931822,-0.13468225040761822,-0.03636280318454532,-0.06709559518950847,0.1513293213406128,-0.24028921072539366,0.3333333333333333,-0.9306361114127742
month,2024-03,21,0.32707131045034243,0.3279339686418903,0.37634324728939855,0.3817065623541796,0.11402461270777083,3.300543964608008,1.0,15.124992552345844
month,2024-04,20,0.06273385795983075,0.06809479045768635,0.0776683397643656,0.0718928033818362,0.12891435299942158,0.6024801580062547,0.75,2.694373176793599
month,2024-05,20,0.09804601265772966,0.08760620024778916,0.12005262250950177,0.10723772698116485,0.06089218938677534,1.9715602890700952,1.0,8.817085656199739
month,2024-06,19,0.03560383774348707,0.08424756775115202,0.0808565456859391,0.09988071791173124,0.11268976795648082,0.7175145281793884,0.7368421052631579,3.1275733188562214
month,2024-07,23,-0.037630291071665226,-0.09315098055708342,-0.022054822346174063,-0.06970028315204532,0.18660374702689378,-0.11819067246809074,0.34782608695652173,-0.5668225527839983
month,2024-08,22,0.09361071611199366,0.06416984999655254,0.0853009504773294,0.06997086437842344,0.2056006775629786,0.4148865241516552,0.6363636363636364,1.9459902914192877
month,2024-09,19,-0.2987937183559067,-0.3085618515060085,-0.3465386675034181,-0.3591065714988924,0.1048874427355003,-3.3039099673475816,0.05263157894736842,-14.401409666224875
month,2024-10,18,-0.2412714458922584,-0.22819869218221978,-0.24534523098283564,-0.23439285815152403,0.24168518461822475,-1.0151438590263298,0.2222222222222222,-4.30689063958439
month,2024-11,21,0.18529898988226762,0.17740650570605843,0.2615522066160755,0.2853779094656689,0.18153637943012021,1.4407702050527904,0.9047619047619048,6.602438523691459
month,2024-12,22,0.21724731993434965,0.2339485879540963,0.3384352166719599,0.3361689302914896,0.1344096798626453,2.517937822765522,1.0,11.810175246154898
month,2025-01,18,-0.23240518306327917,-0.26981429090536296,-0.20335343458947333,-0.19863272396929876,0.07716246799185264,-2.635393085287848,0.0,-11.181025930195046
month,2025-02,18,0.22245378880915545,0.13861425843447261,0.17781364229645655,0.11305632170388259,0.20437590536390612,0.8700323160885647,0.8333333333333334,3.691234503345971
month,2025-03,21,0.42845632237361525,0.44556262215500697,0.4869508596644476,0.49688708574046714,0.07174758755402973,6.7869997621557365,1.0,31.10194015172594
month,2025-04,21,-0.030945889170886424,-0.01595989670136759,-0.011263217366760685,0.03140981954408965,0.16609023887050886,-0.06781384290465123,0.5238095238095238,-0.31076206827640823
month,2025-05,19,-0.13613083575094342,-0.13996367915840008,-0.004876250421633014,-0.007529505203338977,0.11322938456165078,-0.04306523823750016,0.42105263157894735,-0.18771702145676689
month,2025-06,20,-0.26034118105750237,-0.2543033876025961,-0.17647723213485317,-0.1729486088960699,0.09176343954461305,-1.923175864054817,0.0,-8.600703929426931
month,2025-07,23,-0.2048489214516693,-0.2070914233458084,-0.249976935145575,-0.2547580672816433,0.07227345735621542,-3.458765420803234,0.0,-16.58765623683213
month,2025-08,21,-0.18903908432279448,-0.18044001769740356,-0.2059152162247022,-0.2056633860292857,0.06463915892127454,-3.185611008266535,0.0,-14.598303580065991
month,2025-09,22,-0.17106942313775833,-0.19406212854267216,-0.10870537331314765,-0.10114615589361689,0.22774226907950948,-0.47731751225854513,0.3181818181818182,-2.238817581937193
month,2025-10,17,0.18419361510560228,0.20583648830200277,0.28889280836857995,0.3014636856279062,0.10318590894551649,2.7997311970292293,1.0,11.543587448688482
month,2025-11,20,0.12866318429574852,0.1702090840976171,0.1168951963958285,0.16786811382569022,0.19956215343151276,0.5857583433822059,0.7,2.619590948380553
month,2025-12,2,-0.15582295115183023,-0.15582295115183023,-0.2070891381304806,-0.2070891381304806,0.09145601549862613,-2.2643577571296176,0.0,-3.2022854501974285
