test_year,feature,feature_group,gain_importance,split_importance
2023,deducted_profit_growth_change_rank,fundamental,0.05053832980458401,0.06339285714285714
2023,momentum,price_behavior,0.0586215910760923,0.054464285714285715
2023,volume_trend_60_rank,liquidity,0.019637214002754894,0.025
2023,low_volatility,risk,0.031847518371147424,0.02142857142857143
2023,volatility_60_rank,risk,0.14548449104540678,0.08125
2023,roe_change_rank,fundamental,0.031694172600640495,0.04196428571428571
2023,operating_cash_margin_rank,fundamental,0.07088496985062942,0.07946428571428571
2023,roic_change_rank,fundamental,0.023430904255198046,0.03214285714285714
2023,benchmark_weight_rank,price_behavior,0.09544592019090284,0.08839285714285715
2023,quality,fundamental,0.07282408011289983,0.07946428571428571
2023,cash_ratio_change_rank,fundamental,0.0218656450978438,0.02857142857142857
2023,deducted_profit_growth_rank,fundamental,0.07678120989548849,0.06607142857142857
2024,short_reversal,price_behavior,0.0015770883714178326,0.0026785714285714286
2024,gross_margin_yoy_change_rank,fundamental,0.03778149721030345,0.04375
2024,liquidity,liquidity,0.05980752069023796,0.06607142857142857
2024,intraday_strength_20_rank,price_behavior,0.03910098732905273,0.033928571428571426
2024,industry_momentum,industry_technology,0.006959134580376387,0.008928571428571428
2024,revenue_growth_change_rank,fundamental,0.046373771625545644,0.05803571428571429
2024,momentum,price_behavior,0.051488178322516856,0.05089285714285714
2024,gross_margin_change_rank,fundamental,0.0375556232433148,0.04732142857142857
2024,profit_growth_change_rank,fundamental,0.05317301710323002,0.06517857142857143
2024,volume_trend_60_rank,liquidity,0.037563804938966015,0.039285714285714285
2024,deducted_profit_growth_change_rank,fundamental,0.04108969815876916,0.048214285714285716
2024,volatility_60_rank,risk,0.14346830663622712,0.08125
2024,low_volatility,risk,0.03502052801442279,0.019642857142857142
2024,operating_cash_margin_rank,fundamental,0.07665951232946393,0.07321428571428572
2024,fundamental_freshness_rank,fundamental,0.04408179444734659,0.05803571428571429
2024,quality,fundamental,0.050964538401163245,0.05178571428571429
2024,fcff_back_rank,fundamental,0.035783559709041755,0.049107142857142856
2024,benchmark_weight_rank,price_behavior,0.09053304573947711,0.1
2024,roic_rank,fundamental,0.0861798628935836,0.07142857142857142
2024,cash_ratio_change_rank,fundamental,0.02483853025554298,0.03125
2025,operating_cash_margin_rank,fundamental,0.10151445849759676,0.1125
2025,benchmark_weight_rank,price_behavior,0.1345315782195703,0.14017857142857143
2025,revenue_growth_change_rank,fundamental,0.05812247634047625,0.06696428571428571
2025,gross_margin_yoy_change_rank,fundamental,0.06910221293382593,0.08660714285714285
2025,volatility_60_rank,risk,0.2222250096321882,0.09017857142857143
2025,low_volatility,risk,0.02637416660147183,0.015178571428571428
2025,deducted_profit_growth_change_rank,fundamental,0.03907012281966616,0.049107142857142856
2025,liquidity,liquidity,0.07964525378524578,0.08928571428571429
2025,gross_margin_change_rank,fundamental,0.04611630539758047,0.05357142857142857
2025,volume_trend_60_rank,liquidity,0.04845963705985443,0.055357142857142855
2025,profit_growth_change_rank,fundamental,0.04838757202601598,0.06696428571428571
2025,cash_ratio_change_rank,fundamental,0.0419759732909153,0.05714285714285714
2025,intraday_strength_20_rank,price_behavior,0.02880790388027881,0.03660714285714286
2025,fcff_back_rank,fundamental,0.05154899873241689,0.07410714285714286
2025,industry_momentum,industry_technology,0.004118330782896904,0.00625
