score,policy,top_k,buffer_exit_rank,name_retention,rank_persistence,periods,gross_total_return,net_total_return,transaction_cost_rate_sum,transaction_cost_sum,compounded_total_return_drag,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost_rate,mean_maximum_sector_weight,p95_maximum_sector_weight,worst_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread,blocked_sell_orders,terminal_unliquidated_positions,exit_tradability_status,pnl_classification
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top10,10,,0.3098591549295775,0.983349868087812,72,0.3742032090974272,0.23918784224828515,0.10342212810765145,0.10342212810765145,0.13501536684914206,0.27713204762847177,0.09707116146895545,-0.03794420538018661,0.03824297243608332,0.324434913237199,0.5333153776132614,-0.2158779677464443,0.6838399310557179,8.616383131302046,0.0014364184459396035,0.2885253788632296,0.40106807087796115,0.4106425989489087,0.30242008321408503,0.0990431892425905,0.005026143422761941,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top20,20,,0.4225352112676056,0.983349868087812,72,0.4571708750097201,0.3334959474272363,0.08862834749946628,0.08862834749946628,0.12367492758248377,0.27713204762847177,0.18003882738124832,0.05636389979876455,0.051655621229963034,0.4142702525493216,0.7012123140534701,-0.17359876968168197,0.5860219273319538,7.383876284382618,0.0012309492708259206,0.3465933640540947,0.4077363388497699,0.41414466314561843,0.3027672285189625,0.11112079386300902,0.004794631202319672,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top30,30,,0.5065727699530518,0.983349868087812,72,0.4586379057117098,0.3457859192258643,0.08055748644842112,0.08055748644842112,0.11285198648584549,0.27713204762847177,0.18150585808323805,0.06865387159739256,0.05334538420752288,0.42149309224061876,0.7593502404327311,-0.17896814347895396,0.5326565613545571,6.711472673067419,0.0011188539784502934,0.3458623933062136,0.40631357089657644,0.41334401163183515,0.3062802869916676,0.11889321398068292,0.004685185898180352,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_sector_top50,50,,0.5963380281690142,0.983349868087812,72,0.5196636874870717,0.4215127373372509,0.06677373102727999,0.06677373102727999,0.09815095014982078,0.27713204762847177,0.24253163985859993,0.14438068970877915,0.06348503298030983,0.46674011037917457,0.945487489194661,-0.17319675295103976,0.44151694837647587,5.563113549543596,0.0009274129309344443,0.34804096614278396,0.4113323207427205,0.41941669408029264,0.3080534273448526,0.1281207489215846,0.003858307800344964,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
c1_dev_selected_signal_label_ridge,c1_dev_selected_signal_label_ridge_buffer20_30,20,30.0,0.4225352112676056,0.983349868087812,72,0.5607011196838485,0.4606455624296535,0.06619051220113797,0.06619051220113797,0.10005555725419502,0.27713204762847177,0.28356907205537674,0.18351351480118172,0.06855122771461897,0.5897739117142767,0.9413474289890007,-0.12418045071354311,0.437660645324654,5.51452413109064,0.0009193126694602496,0.4297552455462906,0.6040349987568973,0.6593366425092061,0.3061634904130785,0.09810477345008503,0.005542829893955933,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
b3_beta_residual_rank,b3_beta_residual_rank_sector_top10,10,,0.4112676056338029,0.9859844939182073,72,0.26217655418671737,0.14853074477417372,0.09431657064393388,0.09431657064393388,0.11364580941254365,0.27713204762847177,-0.014955493441754397,-0.12860130285429805,0.024530659598865467,0.24082827971279538,0.40777837233463365,-0.19809785002229585,0.6236330456433392,7.857776375106074,0.0013099523700546372,0.2876888841980622,0.40323685005707866,0.41988855066421565,0.30318910836194884,0.09705942585307863,0.000621049267009136,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
b3_beta_residual_rank,b3_beta_residual_rank_sector_top20,20,,0.49507042253521116,0.9859844939182073,72,0.46738360351960284,0.3537679332857282,0.08046141620085426,0.08046141620085426,0.11361567023387464,0.27713204762847177,0.19025155589113107,0.07663588565725643,0.05443603404765862,0.44304646225618916,0.7563769333288707,-0.14635220815886685,0.532021334965635,6.703468820567,0.0011175196694563092,0.3463333274442346,0.40810582242579513,0.4143054050820376,0.30824436712658343,0.10366653728661905,0.00630536835272003,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
b3_beta_residual_rank,b3_beta_residual_rank_sector_top30,30,,0.5582159624413146,0.9859844939182073,72,0.4690974397161709,0.3661195028201554,0.07273946808327977,0.07273946808327977,0.10297793689601553,0.27713204762847177,0.19196539208769914,0.0889874551916836,0.05611332217255516,0.4550100669048465,0.8307860398091602,-0.16892294816889453,0.48096301730329993,6.060134018021579,0.0010102703900455525,0.34580318526045306,0.40522981705844596,0.408427204662504,0.3102607200211996,0.11822568876265141,0.0034213895661665008,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
b3_beta_residual_rank,b3_beta_residual_rank_sector_top50,50,,0.6447887323943663,0.9859844939182073,72,0.4739821185576123,0.38779913001742994,0.06017137570316213,0.06017137570316213,0.08618298854018236,0.27713204762847177,0.19685007092914053,0.11066708238895817,0.05902730305202186,0.46495513869037836,0.935309063384688,-0.1657478205404751,0.39786149377801816,5.013054821603029,0.0008357135514328074,0.34810012864932416,0.4115581309772651,0.4184916864732068,0.30943528615326304,0.13023236525774617,0.0017044405029233384,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
b3_beta_residual_rank,b3_beta_residual_rank_buffer20_30,20,30.0,0.49507042253521116,0.9859844939182073,72,0.4591385522643936,0.3788913794216724,0.05634749391873721,0.05634749391873721,0.0802471728427212,0.27713204762847177,0.18200650463592183,0.10175933179320062,0.05783458032430944,0.5151584251431445,0.7857228830109658,-0.11188344443326326,0.37257759289191483,4.694477670438126,0.0007826040822046835,0.43185374851249986,0.606457996084324,0.6688716910803248,0.3080009297323555,0.08821818798042039,0.006057282277462963,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
