experiment_id,score,slice,rows,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,large_cap,120034,1434,0.03125425849913812,0.056080083906878804,0.2671517887148563,0.1169906391025413,0.5739191073919108,-0.003401831247715271,4.430224037263646
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,low_volatility,118636,1434,0.049696171394387124,0.053879415604851655,0.18617354827459442,0.26693465239803216,0.6408647140864714,0.03528994125060746,10.108332790590678
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,risk_off,82185,333,0.032038186134829824,0.055752672427206544,0.16870459688709746,0.18990701335939772,0.6066066066066066,0.013601421317674082,3.4654777953101634
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,technology,70747,1434,0.03587302746795637,0.05199216551642427,0.23374080695925567,0.1534735330755042,0.5767085076708508,0.020235012839470472,5.811765287639211
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,large_cap,120034,1434,0.04215411630023658,0.06146925270255031,0.24930379795801505,0.1690873410092842,0.5878661087866108,0.008399748672682752,6.403031971470391
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,low_volatility,118636,1434,0.030535769144093373,0.030317942307363406,0.16100525559795628,0.18965697132486015,0.5767085076708508,0.021280407472258272,7.18196669104072
A3_PRICE_PATH_SHAPE,a3_price_path_shape,risk_off,82185,333,0.025919035204869403,0.04196919360247848,0.18593578980099124,0.13939777399827533,0.5945945945945946,0.008540288849590308,2.5437706694510656
A3_PRICE_PATH_SHAPE,a3_price_path_shape,technology,70747,1434,0.03642701780507464,0.05221200924028027,0.23443897781311332,0.1553795283739592,0.5781032078103208,0.022262794986835654,5.883941884424239
A3_PRICE_PATH_SHAPE,a3_price_path_shape,large_cap,120034,1434,0.04036988120038979,0.05298918147019413,0.25098984745143643,0.16084268591063583,0.5801952580195258,0.0062308808968477136,6.090821785448877
A3_PRICE_PATH_SHAPE,a3_price_path_shape,low_volatility,118636,1434,0.03063799231622402,0.03751116014453442,0.15457966228898282,0.1982019617751982,0.5760111576011158,0.02128926717393615,7.505550033961817
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,risk_off,82185,333,0.004478607456750508,-0.0041346239818623376,0.0987626811676554,0.04534716356219422,0.4954954954954955,0.00874529052135012,0.8275080821142592
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,technology,70747,1434,0.0030229327697744697,0.0031400658957342004,0.16760586365873534,0.018035960698424645,0.5083682008368201,0.007650886134346916,0.6829892308842649
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,large_cap,120034,1434,0.01390278180586879,0.018012157029200816,0.16389011096145673,0.0848299005004543,0.5390516039051604,0.016964093782170543,3.212354998303728
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,low_volatility,118636,1434,0.006546491724740632,-0.00011681356618065479,0.14650175543585642,0.04468541489666255,0.499302649930265,0.012643356700400971,1.6921558913510815
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,risk_off,82185,333,0.01794289719085168,0.03064972612634907,0.21292874263413253,0.08426714481511915,0.5675675675675675,0.0017525852052754475,1.537731093049862
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,technology,70747,1434,0.0370972611446698,0.05501607468866071,0.22929665180822156,0.1617871907510324,0.595536959553696,0.025342497527494474,6.126588476522076
