score,policy,top_k,cost_bps,gross_total_return,net_total_return,net_research_proxy_alpha,average_one_way_turnover
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top50,50,30,0.6098737160767953,0.32375472937146643,0.046622681742994665,0.45516755905260964
r0_gen2_exact_reference,r0_gen2_exact_reference_sector_top50,50,50,0.6098737160767953,0.1614777139439627,-0.11565433368450906,0.45516755905260964
r0_gen2_exact_reference,r0_gen2_exact_reference_buffer20_30,20,0,0.42055584066279494,0.42055584066279494,0.14342379303432318,0.39183765252522207
r0_gen2_exact_reference,r0_gen2_exact_reference_buffer20_30,20,10,0.42055584066279494,0.3430080588004909,0.06587601117201913,0.39183765252522207
r0_gen2_exact_reference,r0_gen2_exact_reference_buffer20_30,20,20,0.42055584066279494,0.26962817139506967,-0.007503876233402096,0.39183765252522207
r0_gen2_exact_reference,r0_gen2_exact_reference_buffer20_30,20,30,0.42055584066279494,0.20019567758070234,-0.07693637004776943,0.39183765252522207
r0_gen2_exact_reference,r0_gen2_exact_reference_buffer20_30,20,50,0.42055584066279494,0.07234768120238555,-0.20478436642608622,0.39183765252522207
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top10,10,0,0.30705274947543026,0.30705274947543026,0.029920701846958497,0.6718284081109831
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top10,10,10,0.30705274947543026,0.1866782292921434,-0.09045381833632837,0.6718284081109831
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top10,10,20,0.30705274947543026,0.0772413571103765,-0.19989069051809527,0.6718284081109831
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top10,10,30,0.30705274947543026,-0.02223820155109002,-0.2993702491795618,0.6718284081109831
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top10,10,50,0.30705274947543026,-0.19482099136034692,-0.4719530389888187,0.6718284081109831
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top20,20,0,0.47500749952871435,0.47500749952871435,0.19787545190024258,0.6049501505208942
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top20,20,10,0.47500749952871435,0.3523992179051494,0.07526717027667762,0.6049501505208942
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top20,20,20,0.47500749952871435,0.23984477735589227,-0.0372872702725795,0.6049501505208942
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top20,20,30,0.47500749952871435,0.1365310770313004,-0.14060097059717136,0.6049501505208942
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top20,20,50,0.47500749952871435,-0.04530738577141613,-0.3224394333998879,0.6049501505208942
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top30,30,0,0.625377505324574,0.625377505324574,0.34824545769610227,0.5578242140899472
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top30,30,10,0.625377505324574,0.5005152684800194,0.2233832208515476,0.5578242140899472
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top30,30,20,0.625377505324574,0.3851134663446305,0.10798141871615874,0.5578242140899472
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top30,30,30,0.625377505324574,0.27846528110409396,0.0013332334756221975,0.5578242140899472
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top30,30,50,0.625377505324574,0.08885902620228792,-0.18827302142618385,0.5578242140899472
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top50,50,0,0.4243376231136966,0.4243376231136966,0.14720557548522484,0.4627291532137456
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top50,50,10,0.4243376231136966,0.33288237822099975,0.055750330592527986,0.4627291532137456
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top50,50,20,0.4243376231136966,0.24721814085030225,-0.02991390677816952,0.4627291532137456
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top50,50,30,0.4243376231136966,0.16698336512582368,-0.11014868250264809,0.4627291532137456
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_sector_top50,50,50,0.4243376231136966,0.021465920052971654,-0.2556661275755001,0.4627291532137456
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_buffer20_30,20,0,0.3791990913081569,0.3791990913081569,0.10206704367968511,0.4271034441481668
r1_stable_core_ridge_harness,r1_stable_core_ridge_harness_buffer20_30,20,10,0.3791990913081569,0.29709779926706026,0.01996575163858849,0.4271034441481668
