model,horizon,portfolio_policy,top_k,weighting,buffer_exit_rank,sector_balanced,periods,gross_total_return,net_total_return,transaction_cost_rate_sum,transaction_cost_sum,compounded_total_return_drag,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost_rate,mean_maximum_sector_weight,p95_maximum_sector_weight,worst_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread,blocked_sell_orders,terminal_unliquidated_positions,exit_tradability_status,pnl_classification
ridge,20,rank_weight_top20,20,rank,,False,72,0.010798823144684278,-0.08021332837653183,0.09441452438969372,0.09441452438969372,0.09101215152121611,0.27713204762847177,-0.2663332244837875,-0.3573453760050036,-0.014525832225691593,0.009531526333532433,0.01735390014971695,-0.31798730892829763,0.6242807259166422,7.865937146549691,0.001311312838745746,0.4291001502285252,0.6328979224742987,0.7511285243965379,0.3369734478439756,0.09255924858968353,0.0015068934879290733,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,20,rank_decay_top20,20,rank_decay,,False,72,-0.008719980514428571,-0.10148962706831799,0.0983171367179036,0.0983171367179036,0.09276964655388942,0.27713204762847177,-0.28585202814290034,-0.37862167469678976,-0.018553700962431918,-0.008321777302905366,-0.014574342623440284,-0.32507618206095523,0.6500852012812443,8.191073536143678,0.001365515787748661,0.43938808222010883,0.6785279942711703,0.800709620129141,0.3369734478439756,0.09255924858968353,0.0015068934879290733,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,20,buffer_top20_exit30,20,equal,30.0,False,72,-0.03078888867549745,-0.09597954444832113,0.06963596175471151,0.06963596175471151,0.06519065577282368,0.27713204762847177,-0.3079209363039692,-0.3731115920767929,-0.017503085723431955,-0.01448006617168515,-0.027075035005935586,-0.31601732553396233,0.4604423132557728,5.8015731470227365,0.0009671661354821044,0.4178213673338379,0.586779019514314,0.6944054207955073,0.3389635344938921,0.08727485178107514,-0.00038102795710907286,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,20,sector_balanced_top20,20,equal,,True,72,0.19132793228403422,0.08805138928970035,0.09079136002322669,0.09079136002322669,0.10327654299433386,0.27713204762847177,-0.08580411534443755,-0.1890806583387714,0.014877551724492122,0.16819142476872032,0.3096974254494005,-0.3802290580887645,0.6003239893070165,7.564082265268407,0.001260991111433704,0.34661104635660783,0.4092760512327651,0.4124164604523165,0.3330801233988596,0.09538779233240434,0.0024776837008352332,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,20,equal_top10,10,equal,,False,72,0.20053622257657633,0.10475346904299587,0.08290538794578353,0.08290538794578353,0.09578275353358046,0.27713204762847177,-0.07659582505189544,-0.1723785785854759,0.017586743094474944,0.18397447694173932,0.3041482081824174,-0.27887318204856504,0.5481811282989225,6.907082216566423,0.0011514637214692157,0.47230027844013833,0.8030015865166505,0.9999999999999999,0.3840058890141924,0.1712844252509205,0.004378289625208596,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,20,equal_top20,20,equal,,False,72,0.3550158119898985,0.25507294416930515,0.07642421356472279,0.07642421356472279,0.09994286782059336,0.27713204762847177,0.07788376436142674,-0.022059103459166618,0.04055986122149258,0.314963023522351,0.5486286752123861,-0.1886731440583489,0.5053269345987541,6.367119375944301,0.0010614474106211498,0.41209907706639837,0.7165981039101168,0.8990425449720644,0.3704543514174585,0.17549894293543933,0.006830100326032911,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,20,equal_top30,30,equal,,False,72,0.5729966540926761,0.46517913368978747,0.07084692924391392,0.07084692924391392,0.10781752040288861,0.27713204762847177,0.2958646064642043,0.1880470860613157,0.069130888144606,0.45521324089593723,0.907870685810394,-0.17836452523523505,0.46844935523546916,5.902461875966911,0.0009839851283876934,0.36814647318212296,0.6000138345452011,0.767939522586425,0.36047688927165655,0.17316034955287757,0.006915767098446139,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,20,rank_weight_top20,20,rank,,False,72,0.34565976928740727,0.24103443606311759,0.08067544377945657,0.08067544377945657,0.10462533322428968,0.27713204762847177,0.0685277216589355,-0.03609761156535418,0.03851355791334066,0.2986166228362644,0.5069420887184516,-0.22025873027668585,0.5334365073975643,6.7212999932093105,0.0011204922747146745,0.4421920009097184,0.7418556296746076,0.9854994495591888,0.3704543514174585,0.17549894293543933,0.006830100326032911,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,20,rank_decay_top20,20,rank_decay,,False,72,0.25749776108102207,0.15658331863696695,0.08340825431274096,0.08340825431274096,0.10091444244405512,0.27713204762847177,-0.019634286547449697,-0.12054872899150482,0.025784096844078563,0.22708551177447617,0.39039864446881667,-0.24996731340161016,0.5515061326002829,6.948977270763565,0.0011584479765658466,0.4651463513068056,0.7839904099211255,0.9812151641238939,0.3704543514174585,0.17549894293543933,0.006830100326032911,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,20,buffer_top20_exit30,20,equal,30.0,False,72,0.42055584066279517,0.3385295178178229,0.05926034314760047,0.05926034314760047,0.08202632284497224,0.27713204762847177,0.1434237930343234,0.061397470189351155,0.052349240003165765,0.3723918523793982,0.6711114722353646,-0.17547768303656375,0.391837652525222,4.937154421817797,0.0008230603214944509,0.4160609601907735,0.7657899704323057,0.9999999999999997,0.37155250205465346,0.17932646494230198,0.00756993046376989,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
lightgbm_regression,20,sector_balanced_top20,20,equal,,True,72,0.4252157869110498,0.30206596805487096,0.09027245115663035,0.09027245115663035,0.12314981885617882,0.27713204762847177,0.148083739282578,0.024933920426399192,0.04727508797752766,0.3603234194138145,0.7556684993591763,-0.2252041136074906,0.5968929103428651,7.520850670320099,0.0012537840438420881,0.34618925734525313,0.4088915138190584,0.42003768015326165,0.35560746080137867,0.15544875910359565,0.007434485470787033,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
