model,horizon,test_year,training_window_years,weighting,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
ridge,5,2022,5,equal,242,0.012006031214071572,0.16788842302480156,0.07151196608891826,0.5206611570247934,0.019158606535963
ridge,5,2022,5,exponential_half_life_2y,242,0.015612574932206757,0.15687790622794426,0.09952054631275879,0.5165289256198347,0.021385712717085736
ridge,5,2022,8,equal,242,0.015457711487247255,0.18239040188879768,0.08475068494378189,0.5,0.0242544286206472
ridge,20,2022,3,equal,242,0.022649516851788006,0.11812158385848753,0.19174748688539994,0.512396694214876,0.027114520306200124
ridge,20,2022,5,equal,242,0.014395018624440361,0.11989424828249674,0.1200642969170847,0.4793388429752066,0.025768457913398667
ridge,20,2022,5,exponential_half_life_2y,242,0.022696541932879094,0.11521407825689645,0.19699451904021575,0.5578512396694215,0.02790476772104337
ridge,20,2022,8,equal,242,0.02786170034876172,0.14160560871244499,0.19675562714002232,0.5619834710743802,0.04011407673889182
ridge,5,2023,3,equal,242,0.041921728722648884,0.1450904423136985,0.28893515006322995,0.6322314049586777,0.010892162927447635
ridge,5,2023,5,equal,242,0.04760711935724578,0.15896352746547604,0.29948454287783194,0.6074380165289256,0.01257551688786077
ridge,5,2023,5,exponential_half_life_2y,242,0.0713937191719402,0.16318309194309283,0.43750684168208726,0.6818181818181818,0.03249100082857032
ridge,5,2023,8,equal,242,0.04708555883443957,0.15950554452817667,0.2951970038014691,0.6115702479338843,0.0122978416765345
ridge,20,2023,3,equal,242,0.045011741612704194,0.1371074072455301,0.32829547664115455,0.6074380165289256,0.017596590282376475
ridge,20,2023,5,equal,242,0.0788327279976538,0.14061176956890478,0.5606410348105529,0.7107438016528925,0.04055700325561418
ridge,20,2023,5,exponential_half_life_2y,242,0.1152435813984621,0.15274378615066103,0.7544894905563617,0.8140495867768595,0.07022090741949084
ridge,20,2023,8,equal,242,0.11665570514096539,0.17500651200672598,0.6665792249861079,0.7479338842975206,0.066528576686916
ridge,5,2024,3,equal,242,0.08291256315433018,0.2794680447907548,0.2966799414094339,0.6322314049586777,0.05438488773284598
ridge,5,2024,5,equal,242,0.07143080166576077,0.2547711329951807,0.28037243005514273,0.6157024793388429,0.046562334744624824
ridge,5,2024,5,exponential_half_life_2y,242,0.0858347000401502,0.2959297168393282,0.290050965333614,0.6322314049586777,0.054936556661790634
ridge,5,2024,8,equal,242,0.07112325899335996,0.25393571251932384,0.28008371996100256,0.5991735537190083,0.046646527541923596
ridge,20,2024,3,equal,242,0.10856883650469132,0.23467537008572498,0.46263413354810956,0.71900826446281,0.08065345062067633
ridge,20,2024,5,equal,242,0.09766890459155299,0.21358701225672255,0.4572792304157478,0.6942148760330579,0.073824783620619
ridge,20,2024,5,exponential_half_life_2y,242,0.10747408974827428,0.2407845169841591,0.44634967021299327,0.743801652892562,0.08018570019811935
ridge,20,2024,8,equal,242,0.10212149930011899,0.2509913526343011,0.40687258038292595,0.6818181818181818,0.07031719697767239
ridge,5,2025,3,equal,243,-0.00833903460888726,0.3076204684085119,-0.0271081916363681,0.4691358024691358,-0.055529817231062956
ridge,5,2025,5,equal,243,0.0021536219812928214,0.2728922330970632,0.007891840514665049,0.48559670781893005,-0.040678543653329145
ridge,5,2025,5,exponential_half_life_2y,243,-0.00811370028128133,0.30775336336844117,-0.02636429442224369,0.4691358024691358,-0.05561747973894249
ridge,5,2025,8,equal,243,0.0077491610405724136,0.25829227579794717,0.03000152062864747,0.48559670781893005,-0.032393444513488384
ridge,20,2025,3,equal,243,-0.06843665410901778,0.316410799073794,-0.21629051318522424,0.36213991769547327,-0.11545969534277398
ridge,20,2025,5,equal,243,-0.036055360063837,0.28162538131532533,-0.12802596092525897,0.39094650205761317,-0.07053037066607873
ridge,20,2025,5,exponential_half_life_2y,243,-0.06215908741394434,0.3128541685353094,-0.1986839034459882,0.36213991769547327,-0.10576274773139957
ridge,20,2025,8,equal,243,-0.03491767854020176,0.28214531914271845,-0.12375778072908322,0.3991769547325103,-0.06537902347753104
