model,horizon,portfolio_policy,top_k,weighting,buffer_exit_rank,sector_balanced,periods,gross_total_return,transaction_cost_sum,net_total_return,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost,average_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread
ridge,5,rank_decay_top20,20,rank_decay,,False,291,0.06844939890843915,0.3136033063830601,-0.21944731899586445,0.33084693030178647,-0.2623975313933473,-0.5502942492976509,-0.04200220789042142,-0.08868176461118461,-0.15649606941534938,-0.4540439710989871,0.5131783773245951,25.864190217159596,0.0010776745923816498,0.42378145334240175,0.33019180307328405,0.09202455915422236,0.0002362874035888532
ridge,5,buffer_top20_exit30,20,equal,30.0,False,291,0.25602826753612007,0.20737499999999998,0.02067622247781542,0.33084693030178647,-0.0748186627656664,-0.31017070782397105,0.0035508070692846783,0.11752038232705656,0.2125812867390187,-0.3357689258777413,0.3393470790378007,17.103092783505154,0.0007126288659793814,0.39656357388316144,0.3327565020728451,0.09323639276468734,0.0002447448633325855
ridge,5,sector_balanced_top20,20,equal,,True,291,0.1646002520164742,0.28685999999999995,-0.12615550954903354,0.33084693030178647,-0.16624667828531225,-0.45700243985082,-0.023085317868879573,-0.012938277048756781,-0.021086995794663967,-0.41694721181460326,0.46941580756013745,23.65855670103093,0.0009857731958762884,0.3517182130584192,0.32942534044806565,0.08830779320932024,-3.99168017159855e-05
lightgbm_regression,5,equal_top10,10,equal,,False,291,0.700088086594099,0.29735999999999996,0.2630441009488578,0.33084693030178647,0.3692411562923126,-0.0678028293529287,0.04127458525364025,0.29073528152354783,0.49408309315766663,-0.26319797185155713,0.48659793814433,24.52453608247423,0.0010218556701030927,0.46116838487972506,0.37069970062552754,0.13361383943754193,0.0028972787558532746
lightgbm_regression,5,equal_top20,20,equal,,False,291,0.693517426674439,0.2591399999999999,0.30747839499402185,0.33084693030178647,0.3626704963726526,-0.023368535307764615,0.04752881677583898,0.3204483159892988,0.5800617067373567,-0.2733841405626868,0.4240549828178694,21.372371134020618,0.0008905154639175255,0.3943298969072165,0.3580601683293663,0.1520186440214453,0.0017393994896316171
lightgbm_regression,5,equal_top30,30,equal,,False,291,0.6652870885560327,0.23387,0.31857065689374475,0.33084693030178647,0.3344401582542462,-0.012276273408041716,0.049062625284867156,0.32915171613860816,0.6099022688396704,-0.25801427834407353,0.3827033218785796,19.28824742268041,0.0008036769759450172,0.36517754868270325,0.35204123008075516,0.16111538497188096,0.0013873167426003555
lightgbm_regression,5,rank_weight_top20,20,rank,,False,291,0.7433172908068917,0.28633,0.30975542130023026,0.33084693030178647,0.4124703605051052,-0.021091509001556208,0.04784455313659408,0.32002323738442273,0.5725426147199647,-0.23881236293382768,0.468548519063983,23.61484536082474,0.0009839518900343642,0.42461135657011945,0.3580601683293663,0.1520186440214453,0.0017393994896316171
lightgbm_regression,5,rank_decay_top20,20,rank_decay,,False,291,0.8148640817447244,0.3041236139850398,0.3394512311632345,0.33084693030178647,0.4840171514429379,0.008604300861448033,0.05192122148827605,0.3354130524712633,0.6030389474161217,-0.25911897144927887,0.49766587135499885,25.082359916291942,0.0010450983298454977,0.4392350535401378,0.3580601683293663,0.1520186440214453,0.0017393994896316171
lightgbm_regression,5,buffer_top20_exit30,20,equal,30.0,False,291,0.628346118119987,0.19141499999999997,0.34513168623657875,0.33084693030178647,0.2974991878182005,0.014284755934792281,0.05269251003581954,0.34235605448903456,0.6415993772041049,-0.24104544823293184,0.3132302405498282,15.78680412371134,0.000657783505154639,0.3929553264604811,0.3598664000259528,0.15687245636576733,0.0016098053887543045
lightgbm_regression,5,sector_balanced_top20,20,equal,,True,291,0.561910147114504,0.302295,0.15493284623338854,0.33084693030178647,0.23106321681271758,-0.17591408406839792,0.025261308413109695,0.2204842808166025,0.38767465728787115,-0.2710763861299258,0.4946735395189003,24.931546391752576,0.0010388144329896906,0.3517182130584192,0.34903387842235767,0.138432065776142,0.00141388987666044
v6,20,equal_top10,10,equal,,False,73,-0.22481990672965957,0.11487,-0.3095024769160434,0.34450952756340936,-0.5693294342930689,-0.6540120044794527,-0.06192201898125238,-0.19600851859282276,-0.3355904226278158,-0.5796400780517772,0.7493150684931507,9.441369863013698,0.0015735616438356163,0.4301369863013699,0.3271768370986764,0.21677257692202104,-0.006629559844763167
v6,20,equal_top20,20,equal,,False,73,-0.016138186759663276,0.100905,-0.11079817241316126,0.34450952756340936,-0.36064771432307263,-0.4553076999765706,-0.02006488579589427,0.0031457072463076945,0.005496096107627291,-0.5240955913769256,0.6582191780821918,8.293561643835616,0.0013822602739726026,0.39520547945205475,0.3332281099389464,0.23220296345817215,-0.006200078211906678
v6,20,equal_top30,30,equal,,False,73,0.06026316156985989,0.09106999999999998,-0.03199022573353838,0.34450952756340936,-0.28424636599354947,-0.37649975329694774,-0.005596132154606526,0.07175786449005968,0.13461650282000664,-0.5097624168948208,0.5940639269406391,7.485205479452053,0.0012475342465753422,0.3821917808219178,0.334741055619016,0.23989356637643006,-0.005717456673413658
v6,20,rank_weight_top20,20,rank,,False,73,-0.0928293892694998,0.11062999999999998,-0.18826593604664288,0.34450952756340936,-0.43733891683290915,-0.5327754636100522,-0.035361549887978905,-0.06801239431140259,-0.11933474589157038,-0.5417148089541493,0.7216568819308544,9.092876712328765,0.0015154794520547941,0.4102413568166993,0.3332281099389464,0.23220296345817215,-0.006200078211906678
v6,20,rank_decay_top20,20,rank_decay,,False,73,-0.10356754517047928,0.11610649831524927,-0.20231093005513845,0.34450952756340936,-0.44807707273388864,-0.5468204576185478,-0.03826323700633272,-0.0737080692909023,-0.1332808036897589,-0.53599826928146,0.7573809413910586,9.542999861527338,0.001590499976921223,0.4252705289252185,0.3332281099389464,0.23220296345817215,-0.006200078211906678
v6,20,buffer_top20_exit30,20,equal,30.0,False,73,-0.1271534642665334,0.082215,-0.19624698156605613,0.34450952756340936,-0.47166299182994276,-0.5407565091294655,-0.03700528488133359,-0.08388221206705346,-0.15148588452929498,-0.5418164401626141,0.5363013698630137,6.757397260273972,0.0011262328767123286,0.39657534246575343,0.33406090928031673,0.230267516523187,-0.007876766576747291
