model,horizon,test_year,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
ridge,1,2021,243,0.046316534725504684,0.14979633230798364,0.30919672071995163,0.6172839506172839,0.025570830067455384
ridge,1,2022,242,0.01607520076898624,0.19647746701983237,0.08181701959422967,0.5289256198347108,0.010465961467156401
ridge,1,2023,242,0.02431840116844793,0.15128365472326366,0.16074704972544773,0.5578512396694215,0.0027394465799170367
ridge,1,2024,242,0.03266848244688393,0.23698034088111156,0.13785313298740284,0.5537190082644629,0.01576338754606068
ridge,1,2025,243,0.023441612108008388,0.27356471708509766,0.08568945717044503,0.5308641975308642,-0.005241673137241098
ridge,5,2020,243,0.017552415543544028,0.15090620320599532,0.11631341303832295,0.5390946502057613,-0.011850154703848679
ridge,5,2021,243,0.03202545248467947,0.15168225624578055,0.21113512732027512,0.5925925925925926,0.01803512103478687
ridge,5,2022,242,0.015457711487247255,0.18239040188879768,0.08475068494378189,0.5,0.0242544286206472
ridge,5,2023,242,0.04708555883443957,0.15950554452817667,0.2951970038014691,0.6115702479338843,0.0122978416765345
ridge,5,2024,242,0.07112325899335996,0.25393571251932384,0.28008371996100256,0.5991735537190083,0.046646527541923596
ridge,5,2025,243,0.0077491610405724136,0.25829227579794717,0.03000152062864747,0.48559670781893005,-0.032393444513488384
ridge,20,2020,243,-0.005421840804356287,0.15275482437532895,-0.03549374513393081,0.4444444444444444,-0.029901947197915
ridge,20,2021,243,0.047277352868260576,0.13861783673586694,0.3410625499685619,0.5967078189300411,0.018602295499740906
ridge,20,2022,242,0.02786170034876172,0.14160560871244499,0.19675562714002232,0.5619834710743802,0.04011407673889182
ridge,20,2023,242,0.11665570514096539,0.17500651200672598,0.6665792249861079,0.7479338842975206,0.066528576686916
ridge,20,2024,242,0.10212149930011899,0.2509913526343011,0.40687258038292595,0.6818181818181818,0.07031719697767239
ridge,20,2025,243,-0.03491767854020176,0.28214531914271845,-0.12375778072908322,0.3991769547325103,-0.06537902347753104
v6,1,2020,243,0.02696765309329428,0.1266946606545694,0.2128554822592017,0.6049382716049383,0.010173642694442736
v6,1,2021,243,0.012326048731130215,0.15072168349547882,0.08178019542556368,0.51440329218107,0.010281366718330591
v6,1,2022,242,-0.01163297593459427,0.17920089962474645,-0.06491583445704886,0.4628099173553719,-0.004755272068405933
v6,1,2023,242,-0.02864596445829377,0.15528161886348604,-0.1844774975168022,0.4132231404958678,-0.020599791670191207
v6,1,2024,242,0.024142903587351106,0.1620649033090071,0.14897058582337308,0.5826446280991735,0.014175219204953167
v6,1,2025,243,0.009627654374783872,0.2538713376035158,0.03792336096570257,0.5267489711934157,-0.011706468703749928
v6,5,2020,243,0.041338674154933766,0.12681418077097834,0.32597832437674984,0.6296296296296297,0.019356720540482278
v6,5,2021,243,-0.014419669454485565,0.15352556472739745,-0.09392357214311095,0.4567901234567901,-0.009433349946632873
v6,5,2022,242,-0.020539781271844713,0.16860984998883974,-0.12181839479250019,0.47107438016528924,-0.0062521396548118205
v6,5,2023,242,-0.04974661051701255,0.1503583643535306,-0.3308536291339647,0.35537190082644626,-0.04205403318291089
v6,5,2024,242,0.0406845638759514,0.15169625089373193,0.2681975568694327,0.5991735537190083,0.023048380467155988
v6,5,2025,243,-0.02551413392260199,0.2396808166844896,-0.1064504630597459,0.42386831275720166,-0.05266654921029725
v6,20,2020,243,0.05167086892687711,0.1097631702397544,0.47074869297245187,0.7078189300411523,0.027645581028392305
v6,20,2021,243,-0.03996287694394045,0.14094297618675905,-0.2835393293454149,0.411522633744856,-0.03474056322089084
v6,20,2022,242,-0.03282343825209633,0.1433592083117081,-0.22895939952966143,0.3884297520661157,-0.012240012762162179
v6,20,2023,242,-0.09047225949153995,0.12447229901958017,-0.7268465369737259,0.25206611570247933,-0.07633461735431318
v6,20,2024,242,0.05677897120484386,0.15963036624696508,0.3556902896344971,0.6446280991735537,0.033973674784645275
v6,20,2025,243,-0.07552647349658002,0.25672118356534884,-0.2941964992824779,0.32098765432098764,-0.0935455411531573
