model,horizon,regime_dimension,regime,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
ridge,5,market,bull,297,0.04984964377823657,0.22764017223680422,0.21898438789784497,0.5589225589225589,0.007058815278989567
ridge,5,market,sideways,825,0.03317712187675702,0.19183144618769213,0.1729493393085083,0.5733333333333334,0.010939196898143827
ridge,5,volatility,high_volatility,676,0.02817138950481125,0.20535691993241428,0.13718256737626777,0.5739644970414202,0.008938075728383581
ridge,5,volatility,low_volatility,779,0.03496008838601582,0.19345279232070964,0.18071638029425977,0.5378690629011553,0.009914389841227835
ridge,20,market,bear,333,0.021259887646237607,0.17982241499968157,0.11822712783762387,0.5255255255255256,0.009186190076070506
ridge,20,market,bull,297,0.03262237841792866,0.2519001068505593,0.1295052186590854,0.5892255892255892,0.0010684757424992493
ridge,20,market,sideways,825,0.054065599429188524,0.1952496686169545,0.2769049484803773,0.5842424242424242,0.025230335926172263
ridge,20,volatility,high_volatility,671,0.05148612648359517,0.18333172810178755,0.28083587612837846,0.5916542473919523,0.02461448465991705
ridge,20,volatility,low_volatility,784,0.034215966371058816,0.22201124523869806,0.154118167907536,0.5548469387755102,0.009789600157068278
v6,1,market,bear,333,-0.008266997357753023,0.17998225999556097,-0.045932289982117784,0.4774774774774775,-0.008736834961714854
v6,1,market,bull,297,0.02784175026174345,0.18100882105574298,0.1538143284915898,0.5757575757575758,0.016584573717050084
v6,1,market,sideways,825,0.002990156293165632,0.17332607101942113,0.017251624499297544,0.5127272727272727,-0.0031465204079539183
v6,1,volatility,high_volatility,676,0.0076485721856046395,0.18187418525552831,0.0420541935341654,0.5310650887573964,0.003457039134250396
v6,1,volatility,low_volatility,779,0.0036104414017958403,0.1722760382314847,0.02095730456109366,0.5057766367137355,-0.003744012117589761
v6,5,market,bear,333,-0.010986061476036611,0.1682192569540344,-0.06530798955459977,0.4954954954954955,-0.012493493660543588
v6,5,market,bull,297,0.006825224887457161,0.18361470988238052,0.03717144934536698,0.5286195286195287,-0.005971429941071498
v6,5,market,sideways,825,-0.006292111607225664,0.16926519368699555,-0.03717309784822631,0.4727272727272727,-0.012806218273957238
v6,5,volatility,high_volatility,676,0.002045088471304695,0.17775241813586232,0.011505263853803458,0.5236686390532544,-0.002355802652107533
v6,5,volatility,low_volatility,779,-0.010532398668175302,0.1668268556988292,-0.06313371203968102,0.4595635430038511,-0.01913537299698239
v6,20,market,bear,333,-0.027350622826870938,0.14903670036860803,-0.18351602497388533,0.43843843843843844,-0.023491125964950677
v6,20,market,bull,297,-0.024372358698544226,0.18437386576080886,-0.13218987733414927,0.4511784511784512,-0.028490725980633794
v6,20,market,sideways,825,-0.018495261691378714,0.17695032699113716,-0.10452233689460816,0.4618181818181818,-0.02592095490996417
v6,20,volatility,high_volatility,671,0.00764365679612107,0.15975484880780075,0.0478461646276356,0.5022354694485842,0.001554807674850259
v6,20,volatility,low_volatility,784,-0.04685437824030654,0.17898902136446712,-0.26177235834425355,0.413265306122449,-0.049378002950410435
