test_year,horizon,factor_name,neutralization,ic_dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_ratio
2022,5,roe_change_rank,raw,242,-0.016450849569878002,0.11681164377999499,-0.14083227525555422,0.4380165289256198
2022,5,roic_change_rank,raw,242,-0.021276700698027725,0.12085153490556863,-0.17605652021426937,0.4297520661157025
2022,5,debt_ratio_change_rank,raw,242,0.006520693519815375,0.08802919299149992,0.07407421672541076,0.5371900826446281
2022,5,revenue_growth_change_rank,raw,242,0.01461393703403392,0.10192936339112615,0.14337318067961358,0.5702479338842975
2022,5,profit_growth_change_rank,raw,242,-0.0014888451276029225,0.0988530486401091,-0.015061195866839775,0.5165289256198347
2022,5,operating_cash_margin_change_rank,raw,242,-0.00922135946882917,0.08263855974951588,-0.11158664304871542,0.43388429752066116
2022,5,gross_margin_change_rank,raw,242,-0.00714258964499633,0.0869111864654568,-0.08218262729430326,0.4628099173553719
2022,5,fundamental_freshness_rank,raw,242,-0.008557989990265602,0.08467946145703828,-0.10106334928225137,0.5082644628099173
2022,5,benchmark_weight_rank,raw,242,0.014071338618374679,0.12176186422113068,0.11556441508500429,0.5661157024793388
2022,5,momentum_120_rank,raw,242,-0.04290607291973999,0.22713716731128364,-0.1888993925020589,0.47520661157024796
2022,5,volatility_60_rank,raw,242,0.059776350061900276,0.25922197144254266,0.2305990874510029,0.5743801652892562
2022,5,downside_volatility_60_rank,raw,242,0.04578968371183076,0.272683890359731,0.16792221810912236,0.5702479338842975
2022,5,drawdown_120_rank,raw,242,-0.012038679867023476,0.27224077135719754,-0.04422070877557112,0.5578512396694215
2022,5,price_position_120_rank,raw,242,-0.04195415903977014,0.2062962282804799,-0.20336852200094208,0.4132231404958678
2022,5,volume_trend_60_rank,raw,242,-0.017703777293444682,0.11936271183432472,-0.14831916116330787,0.45454545454545453
2022,5,intraday_strength_20_rank,raw,242,-0.025489725066864043,0.21602982738649362,-0.11799169297701195,0.4669421487603306
2022,5,overnight_gap_20_rank,raw,242,-0.008167618120809307,0.1206026230137247,-0.06772338707657978,0.4669421487603306
2022,5,technology_momentum_rank,raw,242,-0.01818538168486741,0.10204669137473063,-0.17820648018942606,0.4256198347107438
2022,5,technology_growth_rank,raw,242,-0.01854607619355374,0.08384444671413255,-0.2211962380381201,0.4380165289256198
2022,5,technology_quality_rank,raw,242,-0.013754890334854268,0.07255895469158472,-0.1895684742609659,0.44214876033057854
2022,5,technology_valuation_rank,raw,242,-0.0020049855177845777,0.07406778911273866,-0.02706960126395547,0.5082644628099173
2022,5,deducted_profit_growth_rank,raw,242,-0.024289382444982126,0.13808059790812444,-0.1759072803345167,0.4462809917355372
2022,5,gross_margin_yoy_rank,raw,242,-0.0071283961757572295,0.08938754248317127,-0.0797470875440979,0.49173553719008267
2022,5,receivables_turnover_rank,raw,242,0.025834672707904717,0.16552388101740453,0.15607821994693472,0.5826446280991735
2022,5,inventory_turnover_rank,raw,242,0.011663345684832094,0.10066161678854244,0.1158668622354141,0.5330578512396694
2022,5,fixed_asset_turnover_rank,raw,242,-0.0185783359375236,0.11674164118810852,-0.15914060954126807,0.45454545454545453
2022,5,cash_ratio_rank,raw,242,-0.013542950974077136,0.17288886725092154,-0.07833327379270541,0.48760330578512395
2022,5,interest_debt_ratio_rank,raw,242,-0.02418726913980246,0.19699302055442255,-0.12278236595250505,0.4793388429752066
2022,5,operating_cycle_rank,raw,242,0.008659131962120328,0.10500250456507948,0.08246595638824487,0.512396694214876
2022,5,staff_average_revenue_rank,raw,181,0.007856518357587787,0.08830779613451728,0.08896743777435154,0.5303867403314917
2022,5,staff_average_profit_rank,raw,181,0.00734771684667951,0.09735727287133504,0.0754716790022464,0.5580110497237569
2022,5,fcff_back_rank,raw,242,0.005761800593527491,0.10668268611748172,0.05400876940033595,0.5165289256198347
2022,5,deducted_profit_growth_change_rank,raw,242,0.006557810943174221,0.09853776831471392,0.06655124279078067,0.4834710743801653
2022,5,gross_margin_yoy_change_rank,raw,242,-0.002669405665302731,0.07107993972286251,-0.03755497930514043,0.5289256198347108
2022,5,receivables_turnover_change_rank,raw,242,0.005008062169771352,0.11088849421948299,0.04516304604027566,0.5702479338842975
2022,5,inventory_turnover_change_rank,raw,242,-0.00028872003868200884,0.08538668265460954,-0.003381323992289124,0.4628099173553719
2022,5,fixed_asset_turnover_change_rank,raw,242,-0.005315577849150325,0.11049511370729972,-0.04810690419515951,0.5041322314049587
2022,5,cash_ratio_change_rank,raw,242,0.015238719138962405,0.09859579333564363,0.15455749807789634,0.5743801652892562
2022,5,interest_debt_ratio_change_rank,raw,242,0.0006618562337408592,0.07444990075872436,0.008889954546558613,0.5371900826446281
2022,5,operating_cycle_change_rank,raw,242,0.0005248608046322247,0.09594806421072043,0.005470259446605711,0.5289256198347108
2022,5,staff_average_revenue_change_rank,raw,35,0.004404101919659442,0.08500881176903027,0.051807592977836554,0.5142857142857142
2022,5,staff_average_profit_change_rank,raw,35,0.01651040729132483,0.08209583497776131,0.2011113876337001,0.6
2022,5,fcff_back_change_rank,raw,242,-0.001470185648499129,0.09556683545435989,-0.015383847770090175,0.49173553719008267
2022,5,short_reversal,industry,242,0.008752176957743794,0.10707878267325462,0.0817358653063008,0.5206611570247934
2022,5,short_reversal,size,242,0.014336184914310903,0.18558912201248748,0.07724690304503022,0.5289256198347108
2022,5,short_reversal,industry_size,242,0.009374568626145253,0.10551836830918053,0.08884300218400579,0.5330578512396694
2022,5,gross_margin_change_rank,industry,242,-0.006951889549943829,0.06198249851734504,-0.11215891124489648,0.4669421487603306
2022,5,gross_margin_change_rank,size,242,-0.008411795466329782,0.086807936705411,-0.09690122568948756,0.4628099173553719
2022,5,gross_margin_change_rank,industry_size,242,-0.006426694914642713,0.06120048838735151,-0.10501051681102169,0.47520661157024796
2022,5,profit_growth_change_rank,industry,242,-0.0049741171359755565,0.07403458427689873,-0.06718639922892966,0.44214876033057854
2022,5,profit_growth_change_rank,size,242,-0.0010801103320657235,0.09845639276590164,-0.010970443886095709,0.5206611570247934
2022,5,profit_growth_change_rank,industry_size,242,-0.003487414628458361,0.07588845210627042,-0.04595448360937392,0.4793388429752066
2022,5,industry_momentum,industry,242,-0.015688972485346675,0.11469182499573573,-0.136792421656295,0.4297520661157025
2022,5,industry_momentum,size,242,-0.016603792660315777,0.13852272232933585,-0.11986331470472036,0.4793388429752066
2022,5,industry_momentum,industry_size,242,-0.014838043772931514,0.11326311956928314,-0.1310050776400792,0.44214876033057854
2022,5,revenue_growth_change_rank,industry,242,-0.002909739701728052,0.07141170693459314,-0.04074597606794525,0.5
2022,5,revenue_growth_change_rank,size,242,0.014038222115686188,0.10057762765423407,0.1395759916305325,0.5909090909090909
2022,5,revenue_growth_change_rank,industry_size,242,-0.002409349527631089,0.07274306334669227,-0.033121364660547326,0.5041322314049587
2022,5,deducted_profit_growth_change_rank,industry,242,0.004098423033638516,0.07033998698405348,0.058265905487978754,0.4793388429752066
2022,5,deducted_profit_growth_change_rank,size,242,0.006713257068597034,0.09687670937055806,0.06929691473023204,0.49173553719008267
2022,5,deducted_profit_growth_change_rank,industry_size,242,0.004590336227881181,0.07108360794546785,0.06457657905325628,0.4834710743801653
2022,5,gross_margin_yoy_change_rank,industry,242,-0.0072433026200615985,0.060165764418315774,-0.12038910649752467,0.4834710743801653
2022,5,gross_margin_yoy_change_rank,size,242,-0.002767378259829789,0.0695863758386813,-0.039768966647225124,0.5247933884297521
2022,5,gross_margin_yoy_change_rank,industry_size,242,-0.005950190659148542,0.059455330791203215,-0.10007833746724204,0.4834710743801653
2022,5,intraday_strength_20_rank,industry,242,-0.011621785946770092,0.1215785783653061,-0.0955907373077699,0.47107438016528924
2022,5,intraday_strength_20_rank,size,242,-0.02274288888007731,0.21488710442180758,-0.10583645277957067,0.4628099173553719
2022,5,intraday_strength_20_rank,industry_size,242,-0.010224137940651985,0.11947594476395162,-0.08557486580961375,0.47107438016528924
2022,5,liquidity,industry,242,-0.019380620970505417,0.08866843136184645,-0.21857408181064084,0.4132231404958678
2022,5,liquidity,size,242,-0.044041746913935,0.0982148538066979,-0.4484224657159904,0.371900826446281
2022,5,liquidity,industry_size,242,-0.030229836511227664,0.08738156898406801,-0.34595209107242475,0.3884297520661157
2022,5,momentum,industry,242,-0.023834178223004644,0.13627787936179683,-0.17489396176857552,0.4090909090909091
2022,5,momentum,size,242,-0.030362926554130656,0.21998540571710198,-0.13802245860426277,0.44214876033057854
2022,5,momentum,industry_size,242,-0.02279533226873388,0.13497896072267768,-0.16888063255701197,0.40082644628099173
2022,5,deducted_profit_growth_rank,industry,242,-0.013059876663932716,0.09083973478585562,-0.14376832665484873,0.4132231404958678
2022,5,deducted_profit_growth_rank,size,242,-0.02676604387014887,0.13566486114008158,-0.19729533237432373,0.4297520661157025
2022,5,deducted_profit_growth_rank,industry_size,242,-0.014688539830916055,0.08875494999921762,-0.16549544370252628,0.4049586776859504
2022,5,profit_growth_rank,industry,242,-0.01286447769310765,0.07841600978984602,-0.16405422473783476,0.4090909090909091
