model,horizon,top_k,periods,gross_total_return,net_total_return,research_benchmark_proxy_return,gross_alpha_total,net_alpha_total,net_cagr,sharpe,sortino,max_drawdown,volatility,worst_month,worst_year,mean_net_alpha,mean_top_minus_bottom_spread,average_one_way_turnover,annualized_turnover,average_transaction_cost,average_maximum_sector_weight,average_size_rank,average_liquidity_rank
lightgbm_lambdarank,1,20,1455,2.0303430142182664,-0.05871794057123658,0.36100943985039136,1.669333574367875,-0.41972738042162794,-0.010425775936230508,0.13538999930817874,0.21750615102108886,-0.707611445474313,0.3371080715711861,-0.22903552195230914,-0.36390605683503385,-0.00010593777776313777,0.000736540211617215,0.3826116838487973,96.41814432989692,0.0008034845360824741,0.5228178694158075,0.3310313612055868,0.28903739624375524
lightgbm_lambdarank,1,30,1455,1.2221042523864991,-0.11018695234564557,0.36100943985039136,0.8610948125361078,-0.47119639219603693,-0.020016517024269098,0.09777533107427822,0.15391599306781723,-0.7058946317942182,0.3234594175756094,-0.21584213676538988,-0.32176889151276056,-0.00016155170607367705,0.0004633078681776799,0.299495990836197,75.47298969072165,0.0006289415807560136,0.49789232531500577,0.3283128728649824,0.2865714107255272
v6,5,10,294,0.05803125997961245,-0.28412965237440846,0.3657932938200241,-0.3077620338404117,-0.6499229461944326,-0.055690271176688344,-0.12726422698555862,-0.2235744111853067,-0.564372152497405,0.23829121470120534,-0.12479297973694503,-0.2798722673417178,-0.0021263179176010515,-0.0010186731478140927,0.6319727891156462,31.85142857142857,0.001327142857142857,0.4445578231292517,0.33742766224928306,0.23759111783804832
v6,5,20,294,0.16080487703873225,-0.17613324253352802,0.3657932938200241,-0.20498841678129187,-0.5419265363535521,-0.032668161562986575,-0.03580543779964596,-0.058550942324226425,-0.5306305982454553,0.22894159790241017,-0.11509612559017068,-0.269714912640715,-0.001687258530836122,-0.0008249400448513951,0.5545918367346939,27.951428571428572,0.001164642857142857,0.4027210884353742,0.33743902040691287,0.24250262379915735
v6,5,30,294,0.1980478664916021,-0.11542058647391018,0.3657932938200241,-0.16774542732842201,-0.4812138802939343,-0.020805037621186462,0.016627282105984943,0.02826651919317168,-0.5057367945402683,0.22931717744148225,-0.11364282357999511,-0.27420651339780555,-0.0014489594128894157,-0.0010154156201174968,0.49092970521541945,24.74285714285714,0.0010309523809523809,0.391156462585034,0.3378348395115639,0.24416544682317562
ridge,5,10,294,0.42806367956229074,0.027857731846881117,0.3657932938200241,0.06227038574226662,-0.337935561973143,0.004721413366267413,0.1290131908029087,0.21756250289900528,-0.3856162401955935,0.2297758529095012,-0.14892891248423556,-0.13696974050091737,-0.0009364357114559465,0.0023843457315629673,0.5326530612244899,26.845714285714287,0.0011185714285714286,0.43911564625850347,0.33176006907872646,0.06341735894536395
ridge,5,20,294,0.2712352342641573,-0.046309689699471246,0.3657932938200241,-0.09455805955586682,-0.41210298351949537,-0.008095558610802023,0.06332456692219449,0.11080255860047027,-0.3367635267164527,0.21458852790887595,-0.11720819020659767,-0.1329103430404207,-0.0012549950439363783,0.0010078128169806252,0.46547619047619043,23.459999999999997,0.0009775,0.40578231292517003,0.3308290886128844,0.0921451685779514
ridge,5,30,294,0.35364386495789124,0.03875927061409978,0.3657932938200241,-0.012149428862132883,-0.32703402320592434,0.006540207261292119,0.1310998655030835,0.24176099553866187,-0.3297110669184983,0.2190502438904528,-0.11191384874416421,-0.14657079730493527,-0.0009548217916317119,0.0012577996439942733,0.42891156462585034,21.617142857142856,0.0009007142857142855,0.3901360544217687,0.329465703989141,0.10904424173284842
lightgbm_regression,5,10,294,0.15192934351635312,-0.1442798820545489,0.3657932938200241,-0.213863950303671,-0.510073175874573,-0.026357041654008984,-0.01515369478653997,-0.025230834916190215,-0.41062852589311205,0.22073217393776703,-0.13119738754917765,-0.17421599528768095,-0.0015909798373832666,0.0021900283064268697,0.48095238095238096,24.24,0.0010099999999999998,0.4581632653061224,0.37153029871553417,0.13457632855830787
lightgbm_regression,5,20,294,0.3543000933031517,0.03779715037359832,0.3657932938200241,-0.011493200516872415,-0.3279961434464258,0.006380326767117639,0.12929183913173956,0.2271487226335191,-0.3581723574605781,0.2103359582525319,-0.11599790618060479,-0.14089555875407678,-0.0009850347804104688,0.0020574687860340454,0.4311224489795918,21.728571428571424,0.0009053571428571426,0.3921768707482993,0.3574008364652204,0.1508538705696746
lightgbm_regression,5,30,294,0.3334278893946234,0.04925518684707564,0.3657932938200241,-0.0323654044254007,-0.3165381069729485,0.008276444803595018,0.13736836393491117,0.2503806369321108,-0.36219963132131516,0.20881749226209914,-0.12425020804830877,-0.15968940334601345,-0.0009554674313027527,0.0010137992942275923,0.38832199546485263,19.571428571428573,0.0008154761904761904,0.36587301587301585,0.35153550400253736,0.1590287767293396
lightgbm_lambdarank,5,10,294,0.7435685808548109,0.3789784092085364,0.3657932938200241,0.3777752870347868,0.013185115388512303,0.05663291963658068,0.3218681884316582,0.6464218379507578,-0.6129300404609711,0.3303401745933322,-0.19295256188151844,-0.28220975196442233,0.0005850301141241916,0.0004425206955307746,0.3799319727891156,19.148571428571426,0.0007978571428571429,0.4741496598639455,0.3706131560695813,0.27429263664824566
lightgbm_lambdarank,5,20,294,0.6202799201678681,0.3205718554159729,0.3657932938200241,0.254486626347844,-0.04522143840405124,0.04882266415801295,0.2972999913008461,0.5834884509394594,-0.6242730566754222,0.31775336430590656,-0.17467458094676502,-0.25583415944434074,0.00034975390145369626,0.0007653489699971227,0.33163265306122447,16.71428571428571,0.0006964285714285714,0.42568027210884357,0.35626122028161333,0.25821119782272983
lightgbm_lambdarank,5,30,294,0.8541160405756685,0.5522168036096147,0.3657932938200241,0.48832274675564435,0.18642350978959055,0.07828780568539817,0.3902314763514606,0.7163725744695706,-0.5545767403126693,0.3023369091189621,-0.15907977722165867,-0.24328249219677567,0.0008162877498082469,0.0011886560359108027,0.2880952380952381,14.520000000000001,0.000605,0.39841269841269844,0.3485775228943402,0.24958800434780345
v6,20,10,78,0.33686444493558665,0.1783511463260543,0.3401039996164099,-0.0032395546808232645,-0.1617528532903556,0.026865611292759217,0.2260796914860645,0.459515920670152,-0.3734931398890925,0.22044864010108708,-0.11055211804082288,-0.24599498649888007,-0.0014273067512325193,-0.0034345006464356967,0.7705128205128204,9.708461538461536,0.0016180769230769226,0.46282051282051284,0.33039739847217164,0.23102145173704164
v6,20,20,78,0.5088095037714615,0.3476633266469875,0.3401039996164099,0.1687055041550516,0.007559327030577601,0.04937903078192929,0.3225128947863924,0.6527870973373456,-0.3871732342798647,0.22338217315235293,-0.11137382612368851,-0.19748728308657593,0.0003349687062646456,-0.0042254673756890295,0.6897435897435898,8.690769230769233,0.0014484615384615387,0.4038461538461538,0.3384273916726904,0.2455857615555449
v6,20,30,78,0.3058394865850511,0.18021642565105944,0.3401039996164099,-0.0342645130313588,-0.15988757396535047,0.027128015428511842,0.2243031892918168,0.48698899182081046,-0.42189357310617315,0.2270962562722757,-0.1058102633753929,-0.19370666028656902,-0.0013400484960319641,-0.005304694803559775,0.6170940170940172,7.775384615384617,0.0012958974358974356,0.394017094017094,0.33970040874554497,0.24594677689638098
ridge,20,10,78,-0.20681019057268868,-0.28871059133242216,0.3401039996164099,-0.5469141901890986,-0.6288145909488321,-0.05354538397563624,-0.1776126014462306,-0.3458925552287113,-0.4783126176941519,0.2020074754497674,-0.10232355928676706,-0.19868941125758177,-0.008230325304311482,-0.004638031102069886,0.6615384615384615,8.335384615384616,0.0013892307692307691,0.45641025641025634,0.3334283379181198,0.06466146222543533
ridge,20,20,78,-0.0529592425545935,-0.14099447898315076,0.3401039996164099,-0.3930632421710034,-0.4810984785995607,-0.02425168913537401,-0.027764973492674913,-0.05984110861621306,-0.3689973852322619,0.20234034760896952,-0.11237072165015705,-0.13165460715004296,-0.005828650793330766,-0.0012864340212125308,0.5948717948717949,7.495384615384615,0.0012492307692307692,0.4250000000000001,0.335566185998252,0.09445748628879252
ridge,20,30,78,-0.015490108074489917,-0.09948605889994999,0.3401039996164099,-0.35559410769089983,-0.4395900585163599,-0.01678509001855577,0.006255922201655961,0.013581470109693053,-0.36157221916573623,0.19915654271033514,-0.11206337022401613,-0.145980103946019,-0.005283898235790424,-0.0007278822974528807,0.5431623931623931,6.843846153846153,0.0011406410256410253,0.4051282051282051,0.3331403751498904,0.11272153125785128
lightgbm_regression,20,10,78,0.019049388027731595,-0.06698476735575032,0.3401039996164099,-0.3210546115886783,-0.40708876697216023,-0.011137580337598041,0.04367944632658529,0.07835382890788072,-0.3750523059258303,0.2073668026735574,-0.15394969908186473,-0.13765192542003757,-0.0046639173397468835,0.002636470797101612,0.5384615384615385,6.784615384615385,0.0011307692307692308,0.4897435897435898,0.38016148408613304,0.17294271503331235
lightgbm_regression,20,20,78,0.12352637128440214,0.03589692031711911,0.3401039996164099,-0.21657762833200778,-0.3042070792992908,0.0057133397142974385,0.12073900309804093,0.24754466992121055,-0.3814274733890797,0.19868349102238603,-0.13381904958721902,-0.14571358809144408,-0.003478903092859088,0.002896033132099478,0.4961538461538464,6.251538461538464,0.0010419230769230768,0.41217948717948716,0.36932751344784037,0.17470501625862025
lightgbm_regression,20,30,78,0.3595422981890437,0.2604291699066039,0.3401039996164099,0.019438298572633794,-0.079674829709806,0.038096185036619934,0.27577862399315844,0.6147796468996806,-0.34066365496367645,0.2054932071200818,-0.11143761747448211,-0.1417262421023533,-0.000885110453062593,0.003995793911574868,0.46324786324786327,5.836923076923077,0.0009728205128205125,0.37264957264957266,0.35883404661276297,0.17153431533184033
lightgbm_lambdarank,20,10,78,0.643487525124194,0.5280798179157555,0.3401039996164099,0.30338352550778414,0.18797581829934562,0.07089445041076403,0.3661296637417123,0.7945436428774633,-0.5314966582517424,0.3009110992682921,-0.17259244104276006,-0.2699214611273407,0.003361067776439909,0.0057940093286276105,0.44743589743589735,5.637692307692307,0.0009396153846153843,0.4282051282051282,0.36633315651932513,0.26149882619319825
lightgbm_lambdarank,20,20,78,1.2277446807682413,1.0919462283709511,0.3401039996164099,0.8876406811518314,0.7518422287545412,0.12662980779123578,0.5458991499580106,1.2447481036878658,-0.44077146376215504,0.29054928754524495,-0.1565956729291642,-0.26673790974096145,0.007205363768551498,0.006096162947997685,0.3871794871794872,4.878461538461538,0.0008130769230769231,0.36474358974358967,0.3561313950837415,0.24472450908522125
lightgbm_lambdarank,20,30,78,0.9710345767862458,0.8636779398037702,0.3401039996164099,0.6309305771698359,0.5235739401873603,0.1057967100597188,0.48870862944220106,1.139710497725992,-0.4831203542284147,0.2802398225716502,-0.14209969701497782,-0.2438728646487648,0.0054867138092072045,0.005004501539641965,0.34444444444444444,4.34,0.000723333333333333,0.33803418803418794,0.35050509724261225,0.2402961148701372
