test_year,factor_name,ic_dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_ratio,direction_consistency,hac_t_stat,p_value,turnover_proxy,fdr_q_value,passes_statistical_gate,redundant_with,selected,rejection_reason
2021,operating_cycle_change_rank,1939,0.011798340953304384,0.08757158408582713,0.1347279608616086,0.556472408457968,1.0,3.2932200234129736,0.0009904693212208215,0.008554019670115001,0.003311283539035484,True,,True,SELECTED
2021,staff_average_revenue_change_rank,40,-0.01976727027813483,0.054082399922318426,-0.3655028309861927,0.325,1.0,-1.6552564293330954,0.09787249305320778,6.535335469661883e-06,0.17057777360701926,False,,False,STATISTICAL_GATE
2021,staff_average_profit_change_rank,40,0.013272207445233436,0.06803803840798707,0.19507040114306698,0.625,1.0,0.9589749689410453,0.33757135528128246,6.535335469661883e-06,0.44764897113387453,False,,False,STATISTICAL_GATE
2021,fcff_back_change_rank,1939,0.003159698754789588,0.08213514836583344,0.03846950809312665,0.515214027849407,0.75,0.917333264106107,0.35896803157090673,0.009526290386934828,0.465894679272879,False,,False,STATISTICAL_GATE
2022,roe_rank,1939,0.022514720558685197,0.18398681725415078,0.12237137907323227,0.5502836513666839,0.875,2.7933347457657494,0.005216767633447805,0.006505898269251086,0.013259284401679838,True,,False,MAX_FACTOR_CAP
2022,roic_rank,1939,0.022225395590461633,0.1756296937423884,0.12654691309239305,0.5590510572460031,0.875,2.858748129816197,0.004253163342274213,0.005721629123620549,0.011280128864292478,True,,False,MAX_FACTOR_CAP
2022,debt_ratio_rank,1939,0.009436688167277586,0.18462840514631224,0.051111789433480215,0.5342960288808665,0.625,1.1862061594672824,0.23554089438750858,0.001347707282983272,0.37810511993784274,False,,False,STATISTICAL_GATE
2022,revenue_growth_rank,1939,0.020339827034862326,0.13538729979576192,0.15023437992740757,0.5869004641567819,0.75,3.471822732452418,0.0005169375610325488,0.0034246578063550238,0.0019708244514365925,True,,True,SELECTED
2022,profit_growth_rank,1939,0.020879588853192858,0.12839622310602428,0.1626184037824178,0.5734914904589995,0.75,3.7192294344178136,0.00019983147591506878,0.0036308894655369757,0.0010158100025682664,True,,True,SELECTED
2022,operating_cash_margin_rank,1939,0.012977810497975549,0.11626446644135732,0.11162318888309208,0.5575038679731821,0.75,2.6963205147862164,0.007011016976941065,0.00405921167233769,0.017106881423736196,True,,False,MAX_FACTOR_CAP
2022,gross_margin_rank,1939,0.015587725351196515,0.14172593371580047,0.10998498963819986,0.5461578133058278,0.75,2.5011463887022956,0.012379199703586696,0.0013384444702801742,0.02796782155254772,True,,False,MAX_FACTOR_CAP
2022,fundamental_coverage,1939,-0.0021061918696648678,0.18653303121451362,-0.011291254186732965,0.5146982980917999,0.625,-0.27084089815956575,0.7865134028663621,1.047665062711998e-05,0.8417073258745278,False,,False,STATISTICAL_GATE
2022,book_to_price_rank,1939,-0.008340920017043018,0.16537419335903994,-0.05043664823165152,0.46415678184631254,0.625,-1.1491661519744145,0.25048747505546687,0.0033625583948583377,0.39178810200983283,False,,False,STATISTICAL_GATE
2022,earnings_yield_rank,1939,0.002555857180699426,0.15321182563277233,0.01668185318035087,0.4987106756059825,0.5,0.39127900703060203,0.6955910144125255,0.005733669339106301,0.8005858845125293,False,,False,STATISTICAL_GATE
2022,quality,1939,0.023819234153075013,0.17765925148657638,0.13407257969267505,0.5611139762764311,0.875,3.0277242419602377,0.002464028237227911,0.004968072344212569,0.007157415355757265,True,,True,SELECTED
2022,growth,1939,0.02249621252208659,0.13983463634225912,0.16087725552505378,0.5760701392470345,0.75,3.691874212495649,0.00022260756158209993,0.0039007990146164846,0.0010445431735775458,True,,True,SELECTED
2022,momentum,1939,-0.03445534571027837,0.21163356224998078,-0.16280662359961529,0.4394017534811759,0.75,-4.024448368974382,5.7109021182721875e-05,0.06723549690338651,0.00034836502921460345,True,,True,SELECTED
2022,short_reversal,1939,0.034482119624755565,0.17958702634291193,0.19200785450344157,0.5709128416709645,1.0,6.121592070905079,9.264495837157938e-10,0.2552878979597815,5.651342460666342e-08,True,,True,SELECTED
2022,volume_attention,1939,-0.0016491889562054722,0.14242373276250725,-0.011579453256961804,0.49716348633316143,0.75,-0.3440453487481935,0.7308121820664928,0.20436444494922434,0.8255470945565937,False,,False,STATISTICAL_GATE
2022,low_volatility,1939,0.029535729782819722,0.23729748209322185,0.12446710147230584,0.5605982465188242,0.75,3.051489825194341,0.0022770876591020617,0.027873811790315707,0.007157415355757265,True,,False,MAX_FACTOR_CAP
2022,liquidity,1939,-0.02573062257313368,0.13249430205228194,-0.1942017292410087,0.4265085095410005,0.75,-4.5860733529225195,4.5165997291096716e-06,0.05126378627992218,3.0612509275076664e-05,True,,True,SELECTED
2022,industry_momentum,1939,-0.029064986150226742,0.13405234112480113,-0.21681819135980315,0.4156781846312532,0.875,-5.427023197573778,5.730168339823649e-08,0.07943758090457341,8.738506718231065e-07,True,,True,SELECTED
2022,roe_change_rank,1939,0.015528366919946591,0.10106542325982029,0.1536466817145372,0.553378029912326,1.0,3.622268725822635,0.0002920305166882464,0.011202338523126939,0.0012724186798559309,True,,True,SELECTED
2022,roic_change_rank,1939,0.01438574117286518,0.0956250184012937,0.1504390944270977,0.5492521918514698,0.875,3.5040457315984717,0.0004582466561569021,0.00989458861140827,0.001863536401704735,True,,True,SELECTED
2022,debt_ratio_change_rank,1939,-0.0018786723861055133,0.08564567476823107,-0.021935402939955325,0.4914904589994843,0.625,-0.519851835871459,0.6031668472507352,0.007280664578588785,0.7508811771896907,False,,False,STATISTICAL_GATE
2022,revenue_growth_change_rank,1939,0.018480434559356017,0.08516267667612448,0.2170015701788885,0.594636410520887,0.875,5.1514218615148515,2.585189333714766e-07,0.007226564451555544,3.153930987132014e-06,True,,True,SELECTED
2022,profit_growth_change_rank,1939,0.022070668377463052,0.09184946863495551,0.240291737181194,0.5951521402784941,0.875,5.673990571166085,1.3950881339042098e-08,0.007376783391300963,2.8366792056052265e-07,True,,True,SELECTED
2022,operating_cash_margin_change_rank,1939,0.0005502190403803434,0.08546734735411933,0.006437769012540016,0.49406910778751933,0.625,0.15504662624956825,0.876784559293655,0.009057939384489412,0.9221354847743612,False,,False,STATISTICAL_GATE
2022,gross_margin_change_rank,1939,0.018236517403163385,0.07703186147357188,0.23673992883347336,0.6013408973697782,1.0,5.832167605706088,5.471191943939857e-09,0.006395662807004341,1.6687135429016564e-07,True,,True,SELECTED
