model,horizon,test_year,broad_sector,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
ridge,1,2022,healthcare,242,0.030878624745615594,0.24797307475848474,0.12452410317406462,0.5619834710743802,0.0267330279695718
ridge,1,2022,technology,242,0.024460004508660586,0.22769220915363636,0.10742574196799191,0.5330578512396694,0.0205932753322205
lightgbm_regression,1,2022,consumer,114,0.05585009955719338,0.30179479545493687,0.18505984993214622,0.5614035087719298,0.04449343897580169
lightgbm_regression,1,2022,cyclical_manufacturing,242,0.029782340081658244,0.2287939324010107,0.13017102232177324,0.5041322314049587,0.021968851569415627
lightgbm_regression,1,2022,finance_real_estate,242,0.006134930555275047,0.2867429758753241,0.021395225241515648,0.4834710743801653,0.0070087209801124335
lightgbm_regression,1,2022,healthcare,242,0.04986033271262767,0.24491123709732487,0.2035853205576425,0.5743801652892562,0.04631077456439361
lightgbm_regression,1,2022,technology,242,0.01316208272699447,0.23387731085117044,0.05627772390187203,0.5165289256198347,0.008918838496659314
lightgbm_lambdarank,1,2022,consumer,114,-0.0021107610924544534,0.28365593120102467,-0.00744127254282081,0.5087719298245614,-0.002827502181508343
lightgbm_lambdarank,1,2022,cyclical_manufacturing,242,-0.014514182683221681,0.22365418465516856,-0.06489564550558148,0.45867768595041325,-0.0017660664701712224
lightgbm_lambdarank,1,2022,finance_real_estate,242,-0.03168407838766472,0.28670222583123917,-0.11051214651648655,0.47107438016528924,-0.01847238351704104
lightgbm_lambdarank,1,2022,healthcare,242,0.016214579661544447,0.2480706289426809,0.06536275467456078,0.5495867768595041,0.021816187608920474
lightgbm_lambdarank,1,2022,technology,242,-0.02355874524054321,0.20117886902425416,-0.11710347788913637,0.4462809917355372,-0.021860342454763655
v6,5,2022,consumer,110,0.08659074899930368,0.3383968817448493,0.2558851859178566,0.6363636363636364,0.07585477513454565
v6,5,2022,cyclical_manufacturing,242,-0.02263695057540088,0.2516941980094678,-0.08993830908469873,0.4793388429752066,-0.005950210499354218
v6,5,2022,finance_real_estate,242,-0.027821551273827485,0.30818594097709257,-0.09027521237867063,0.41735537190082644,-0.030509027535079267
v6,5,2022,healthcare,242,0.041518222064795184,0.25882660244180844,0.1604094079708428,0.5619834710743802,0.03328280320319006
v6,5,2022,technology,242,-0.02186079482031424,0.20800262605094882,-0.10509864820148755,0.4462809917355372,-0.006702300018970642
ridge,5,2022,consumer,110,0.05207947006354121,0.320038212741508,0.1627289117053198,0.6090909090909091,0.05882915261412643
ridge,5,2022,cyclical_manufacturing,242,0.021706468563365687,0.2150917844178451,0.1009172369001222,0.5289256198347108,0.02407158773568718
ridge,5,2022,finance_real_estate,242,-0.013869365236478352,0.2964880567494629,-0.046778832808763646,0.44214876033057854,0.00010546853167612023
ridge,5,2022,healthcare,242,0.012459166554505505,0.20773663209980223,0.05997578004691916,0.5454545454545454,0.016310560819826427
ridge,5,2022,technology,242,0.033557699668220954,0.19231614301899067,0.17449237043458815,0.5206611570247934,0.041802086730289026
lightgbm_regression,5,2022,consumer,110,0.059470699963070264,0.3457256827184978,0.17201701503759392,0.5909090909090909,0.05245172797241771
