experiment_id,score,policy,top_k,cost_bps,gross_total_return,net_total_return,net_research_proxy_alpha,average_one_way_turnover
I_RESIDUALIZED_SCORE,residualized_shallow,residualized_shallow_sector_top20,20,20,0.3423475727802041,0.11706404549385896,-0.1600680021346128,0.6399306387446217
I_RESIDUALIZED_SCORE,residualized_shallow,residualized_shallow_sector_top20,20,30,0.3423475727802041,0.018836223491898618,-0.25829582413657315,0.6399306387446217
I_RESIDUALIZED_SCORE,residualized_shallow,residualized_shallow_sector_top20,20,50,0.3423475727802041,-0.15278089288370822,-0.42991294051218,0.6399306387446217
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top10,10,0,0.4107593757159933,0.4107593757159933,0.13362732808752154,0.6597892866147804
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top10,10,10,0.4107593757159933,0.28334375045857363,0.006211702830101862,0.6597892866147804
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top10,10,20,0.4107593757159933,0.16727509866283818,-0.10985694896563358,0.6597892866147804
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top10,10,30,0.4107593757159933,0.06155724781502592,-0.21557479981344585,0.6597892866147804
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top10,10,50,0.4107593757159933,-0.12238710457380919,-0.39951915220228096,0.6597892866147804
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top30,30,0,0.5434589510147776,0.5434589510147776,0.2663269033863058,0.5419989893636612
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top30,30,10,0.5434589510147776,0.42812677422036405,0.15099472659189228,0.5419989893636612
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top30,30,20,0.5434589510147776,0.3212933771232298,0.04416132949475804,0.5419989893636612
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top30,30,30,0.5434589510147776,0.22234127351119648,-0.05479077411727529,0.5419989893636612
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top30,30,50,0.5434589510147776,0.04582900820602309,-0.23130303942244868,0.5419989893636612
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top40,40,0,0.5461813349677074,0.5461813349677074,0.2690492873392356,0.4983530515440213
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top40,40,10,0.5461813349677074,0.4396405626238633,0.16250851499539154,0.4983530515440213
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top40,40,20,0.5461813349677074,0.3403389726695898,0.06320692504111802,0.4983530515440213
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top40,40,30,0.5461813349677074,0.24779161629674307,-0.0293404313317287,0.4983530515440213
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top40,40,50,0.5461813349677074,0.08117783470148399,-0.19595421292698778,0.4983530515440213
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top50,50,0,0.6098737160767953,0.6098737160767953,0.33274166844832354,0.45516755905260964
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top50,50,10,0.6098737160767953,0.5083138712818729,0.23118182365340112,0.45516755905260964
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top50,50,20,0.6098737160767953,0.413069914855988,0.13593786722751622,0.45516755905260964
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top50,50,30,0.6098737160767953,0.32375472937146643,0.046622681742994665,0.45516755905260964
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_sector_top50,50,50,0.6098737160767953,0.1614777139439627,-0.11565433368450906,0.45516755905260964
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_buffer20_30,20,0,0.42055584066279494,0.42055584066279494,0.14342379303432318,0.39183765252522207
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_buffer20_30,20,10,0.42055584066279494,0.3430080588004909,0.06587601117201913,0.39183765252522207
