experiment_id,score,dimension,bucket,rows,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat
C1_FULL61_REG,lgbm_full61,market_cap,large,119577,1434,0.01323612550051635,0.016467435275616518,0.23314255380154725,0.056772670989025206,0.5425383542538355,-0.01796888816221883,2.1498784313400376
C1_FULL61_REG,lgbm_full61,volatility,low,119106,1434,0.019113860844501833,0.02738611753840531,0.199307836374652,0.0959012008367411,0.5536959553695955,0.00018740414816480728,3.6316051301932752
C1_FULL61_REG,lgbm_full61,volatility,mid,118636,1434,0.008403780899248921,0.008017299156539662,0.1843527809825374,0.04558532208985206,0.5188284518828452,-0.004715359267213093,1.7262337501366911
C1_FULL61_REG,lgbm_full61,volatility,high,119577,1434,0.04718915441754478,0.05179543516920507,0.17944931598839362,0.26296647695551467,0.5906555090655509,0.0349986068217573,9.958065159228209
C2_STABLE_CORE_REG,lgbm_stable_core,market_regime,neutral,200979,804,0.07872239791491999,0.07598822785012024,0.19714002290693816,0.39932225204255783,0.6455223880597015,0.0413704161403917,11.322740031678615
C2_STABLE_CORE_REG,lgbm_stable_core,market_regime,risk_off,82185,333,0.024057615202394148,0.03543375529727942,0.18785108800862654,0.12806747864717913,0.5585585585585585,0.003424952133542703,2.3370121813944857
C2_STABLE_CORE_REG,lgbm_stable_core,market_regime,risk_on,74155,297,0.050702179552042974,0.06263661285207593,0.26161891777753077,0.1938016561751772,0.6195286195286195,-0.002807878321773412,3.339917264703387
C2_STABLE_CORE_REG,lgbm_stable_core,sector,consumer,24685,197,0.03970036114874746,0.04121964991530209,0.24313481392948638,0.1632853827352808,0.5786802030456852,0.06881795542832662,2.291819559728995
C2_STABLE_CORE_REG,lgbm_stable_core,sector,cyclical_manufacturing,125839,1434,0.07795672016921681,0.06835695235611762,0.2221754320430748,0.3508791203975369,0.6269177126917713,0.0530779428375842,13.287158060540301
C2_STABLE_CORE_REG,lgbm_stable_core,sector,defensive,18436,0,,,,,,,
C2_STABLE_CORE_REG,lgbm_stable_core,sector,finance_real_estate,63024,1434,0.09541754739754955,0.10364897022232042,0.3376363649103778,0.28260447426294616,0.6185495118549512,0.07137644354164922,10.701720620746343
C2_STABLE_CORE_REG,lgbm_stable_core,sector,healthcare,33513,860,0.0289168880603944,0.030651340996168584,0.2362924718158205,0.12237752577633464,0.5558139534883721,0.02706245344218105,3.588813533888074
C2_STABLE_CORE_REG,lgbm_stable_core,sector,other,21075,382,-0.03816289704630036,-0.04561171480625856,0.24925975169747638,-0.15310493084586804,0.42408376963350786,-0.06725588405902691,-2.9924083582358025
C2_STABLE_CORE_REG,lgbm_stable_core,sector,technology,70747,1434,0.017206616935926105,0.020307465181573704,0.2266810667645469,0.0759067229633191,0.5411436541143654,0.004757365521906909,2.874450393994846
C2_STABLE_CORE_REG,lgbm_stable_core,market_cap,small,119106,1434,0.07552612641656879,0.07797705178047917,0.2055524584597412,0.3674299348327234,0.6436541143654114,0.02926453179797018,13.913907486900694
C2_STABLE_CORE_REG,lgbm_stable_core,market_cap,mid,118636,1434,0.07069712118779772,0.07983457494289513,0.22357964145280107,0.3162055396833718,0.6352859135285913,0.05134409000991464,11.974132232864841
C2_STABLE_CORE_REG,lgbm_stable_core,market_cap,large,119577,1434,0.04358151822430888,0.05450560391188851,0.2602609713900683,0.1674531451701635,0.5697350069735007,-0.0010036301931099128,6.341147928921284
