experiment_id,score,policy,top_k,buffer_exit_rank,periods,gross_total_return,net_total_return,transaction_cost_rate_sum,transaction_cost_sum,compounded_total_return_drag,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost_rate,mean_maximum_sector_weight,p95_maximum_sector_weight,worst_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread,blocked_sell_orders,terminal_unliquidated_positions,exit_tradability_status,pnl_classification
A_GEN2_BASELINE,gen2_baseline,gen2_baseline_buffer20_30,20,30.0,72,0.42055584066279494,0.33852951781782004,0.05926034314760047,0.05926034314760047,0.08202632284497491,0.27713204762847177,0.14342379303432318,0.06139747018934827,0.05234924000316554,0.37239185237939704,0.6711114722353614,-0.17547768303656386,0.39183765252522207,4.937154421817798,0.0008230603214944509,0.4160609601907735,0.7657899704323058,0.9999999999999999,0.37155250205465346,0.17932646494230198,0.00756993046376989,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top10,10,,72,0.38759871982791516,0.2639048595307947,0.09347183959354448,0.09347183959354448,0.12369386029712048,0.27713204762847177,0.1104666721994434,-0.01322718809767709,0.04183757610059713,0.33169940296873307,0.5511602660437276,-0.2365356057231357,0.6180475967833738,7.7873997194705105,0.0012982199943547845,0.2892913929476912,0.40011597056821263,0.43313852198452796,0.3659365259842447,0.19887642427187308,0.006919590277170085,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top30,30,,72,0.4240674448539865,0.3212982313459847,0.07475154835708933,0.07475154835708933,0.10276921350800183,0.27713204762847177,0.14693539722551474,0.04416618371751291,0.049965790672265475,0.38454391150141115,0.7072697443799405,-0.1961883526134417,0.4942670996693127,6.22776545583334,0.0010382159494040184,0.34534186243381293,0.4059806090190972,0.42559520965876574,0.3564196639736731,0.196604766611352,0.00545096319357332,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top40,40,,72,0.48142233309785976,0.3806637523129437,0.07026211829050716,0.07026211829050716,0.10075858078491606,0.27713204762847177,0.204290285469388,0.10353170468447193,0.058072401598684875,0.4333604128882554,0.8152211453812053,-0.20091203232362298,0.46458252487390567,5.853739813411211,0.0009758627540348216,0.34844128081047526,0.42315604191728323,0.4265863462974487,0.3523056850475571,0.19420197681702195,0.004639187601657333,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_sector_top50,50,,72,0.35883074014873073,0.2733765208466654,0.06479918004244918,0.06479918004244918,0.08545421930206532,0.27713204762847177,0.08169869252025896,-0.003755526781806351,0.04319968350055947,0.3460994305419708,0.6576621656363915,-0.2272202885677631,0.42846101354126037,5.39860877061988,0.0008999886117006831,0.3476081179927639,0.4123441547446763,0.4205856822885777,0.3480754317672116,0.19149274267753938,0.001853016101908146,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
B2_STRONG_REG,lgbm_strong_reg,lgbm_strong_reg_buffer20_30,20,30.0,72,0.559422606394834,0.4810764959979188,0.051469468256462786,0.051469468256462786,0.07834611039691519,0.27713204762847177,0.2822905587663622,0.20394444836944703,0.07115189570999214,0.4705889149363664,0.7734551431390103,-0.17872508138535936,0.3403235839245944,4.288077157449889,0.0007148537257842054,0.45614757287310526,0.8913391836819331,0.9520110317934044,0.37626593141705933,0.21615049857773044,0.005925956621439996,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top10,10,,72,0.3581891396563137,0.21989671564763413,0.10749589066342187,0.10749589066342187,0.13829242400867958,0.27713204762847177,0.08105709202784195,-0.057235331980837634,0.03539612635754397,0.32960279371896684,0.5937436280529805,-0.2373810350546347,0.710776069383307,8.955778474229668,0.0014929984814364148,0.2868863840962263,0.39776319423543216,0.4123396437250689,0.3292393795699709,0.06454134269439689,-0.0028546170630678806,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top30,30,,72,0.5931210041745927,0.4666923401592207,0.08277744673529154,0.08277744673529154,0.126428664015372,0.27713204762847177,0.3159889565461209,0.1895602925307489,0.06932403669272413,0.5253763161950997,1.1442111176993313,-0.19872403569759967,0.5473351678148659,6.89642311446731,0.0011496867602123824,0.344686515013738,0.4056627494170972,0.41387659253555903,0.32998169715981224,0.11060620082714928,0.0049551180086906295,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top40,40,,72,0.5537043999610163,0.441107918225363,0.07527795668257274,0.07527795668257274,0.11259648173565329,0.27713204762847177,0.2765723523325445,0.16397587059689123,0.06603604228718751,0.5025149029386262,1.1604889989783551,-0.19467207337370818,0.49774776582937896,6.271621849450175,0.0010455271761468437,0.34819204973198203,0.4214630906200172,0.427083893478148,0.32761939751637964,0.12103120000095233,0.004516169693607885,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top50,50,,72,0.42602607540126125,0.33009983791615216,0.06972933478643531,0.06972933478643531,0.09592623748510909,0.27713204762847177,0.14889402777278948,0.052967790287680394,0.05118642091481118,0.40610748871461927,0.8963872684876277,-0.19126771249706842,0.46105970537525603,5.809352287728226,0.0009684629831449348,0.347710946057033,0.41168267973585804,0.421350093506594,0.3266937283547461,0.1316387446547068,0.0031851021794244744,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
